Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-02 00:00:00+11:00,8.5,8.539999961853027,8.210000038146973,8.210000038146973,5229,0.0,0.0,0.0
2024-01-03 00:00:00+11:00,8.479999542236328,8.479999542236328,8.25,8.25,1423,0.0,0.0,0.0
2024-01-04 00:00:00+11:00,8.260000228881836,8.260000228881836,8.25,8.25,978,0.0,0.0,0.0
2024-01-05 00:00:00+11:00,8.25,8.3100004196167,8.25,8.25,1429,0.0,0.0,0.0
2024-01-08 00:00:00+11:00,8.260000228881836,8.260000228881836,8.15999984741211,8.15999984741211,4929,0.0,0.0,0.0
2024-01-09 00:00:00+11:00,8.199999809265137,8.199999809265137,8.170000076293945,8.170000076293945,530,0.0,0.0,0.0
2024-01-10 00:00:00+11:00,8.15999984741211,8.25,8.149999618530273,8.25,226,0.0,0.0,0.0
2024-01-11 00:00:00+11:00,8.260000228881836,8.260000228881836,8.15999984741211,8.15999984741211,2390,0.0,0.0,0.0
2024-01-12 00:00:00+11:00,8.15999984741211,8.199999809265137,8.0,8.0,1148,0.0,0.0,0.0
2024-01-15 00:00:00+11:00,8.100000381469727,8.199999809265137,8.09000015258789,8.199999809265137,3863,0.0,0.0,0.0
2024-01-16 00:00:00+11:00,8.170000076293945,8.170000076293945,8.100000381469727,8.100000381469727,232,0.0,0.0,0.0
2024-01-17 00:00:00+11:00,8.09000015258789,8.329999923706055,8.09000015258789,8.140000343322754,8451,0.0,0.0,0.0
2024-01-18 00:00:00+11:00,8.1899995803833,9.300000190734863,8.180000305175781,8.75,12423,0.0,0.0,0.0
2024-01-19 00:00:00+11:00,8.949999809265137,9.020000457763672,8.510000228881836,8.979999542236328,9178,0.0,0.0,0.0
2024-01-22 00:00:00+11:00,8.979999542236328,8.979999542236328,8.600000381469727,8.600000381469727,474,0.0,0.0,0.0
2024-01-23 00:00:00+11:00,8.210000038146973,8.5,8.210000038146973,8.489999771118164,1617,0.0,0.0,0.0
2024-01-24 00:00:00+11:00,8.489999771118164,8.5,8.489999771118164,8.5,1534,0.0,0.0,0.0
2024-01-25 00:00:00+11:00,8.100000381469727,8.399999618530273,7.869999885559082,8.399999618530273,3987,0.0,0.0,0.0
2024-01-29 00:00:00+11:00,8.399999618530273,8.399999618530273,7.849999904632568,7.900000095367432,3861,0.0,0.0,0.0
2024-01-30 00:00:00+11:00,7.800000190734863,7.889999866485596,7.519999980926514,7.650000095367432,3109,0.0,0.0,0.0
2024-01-31 00:00:00+11:00,7.539999961853027,7.610000133514404,7.300000190734863,7.5,11708,0.0,0.0,0.0
2024-02-01 00:00:00+11:00,7.5,7.659999847412109,7.449999809265137,7.449999809265137,10660,0.0,0.0,0.0
2024-02-02 00:00:00+11:00,7.5,7.599999904632568,7.5,7.579999923706055,3118,0.0,0.0,0.0
2024-02-05 00:00:00+11:00,8.0,8.0,7.900000095367432,7.900000095367432,635,0.0,0.0,0.0
2024-02-06 00:00:00+11:00,7.900000095367432,7.900000095367432,7.5,7.650000095367432,2237,0.0,0.0,0.0
2024-02-07 00:00:00+11:00,7.820000171661377,7.820000171661377,7.300000190734863,7.5,6359,0.0,0.0,0.0
2024-02-08 00:00:00+11:00,7.429999828338623,7.510000228881836,7.199999809265137,7.5,6258,0.0,0.0,0.0
2024-02-09 00:00:00+11:00,7.5,7.5,7.5,7.5,568,0.0,0.0,0.0
2024-02-12 00:00:00+11:00,7.429999828338623,7.429999828338623,6.460000038146973,6.5,14526,0.0,0.0,0.0
2024-02-13 00:00:00+11:00,6.75,7.0,6.650000095367432,6.730000019073486,6598,0.0,0.0,0.0
2024-02-14 00:00:00+11:00,6.739999771118164,6.949999809265137,6.429999828338623,6.690000057220459,8234,0.0,0.0,0.0
2024-02-15 00:00:00+11:00,6.690000057220459,6.690000057220459,6.690000057220459,6.690000057220459,0,0.0,0.0,0.0
2024-02-16 00:00:00+11:00,6.800000190734863,6.800000190734863,6.650000095367432,6.650000095367432,424,0.0,0.0,0.0
2024-02-19 00:00:00+11:00,6.570000171661377,6.699999809265137,6.570000171661377,6.659999847412109,2245,0.0,0.0,0.0
2024-02-20 00:00:00+11:00,6.699999809265137,6.900000095367432,6.699999809265137,6.699999809265137,646,0.0,0.0,0.0
2024-02-21 00:00:00+11:00,6.659999847412109,6.699999809265137,6.559999942779541,6.699999809265137,860,0.0,0.0,0.0
2024-02-22 00:00:00+11:00,6.570000171661377,6.570000171661377,6.400000095367432,6.5,6901,0.0,0.0,0.0
2024-02-23 00:00:00+11:00,6.5,6.5,6.5,6.5,307,0.0,0.0,0.0
2024-02-26 00:00:00+11:00,6.5,6.5,6.5,6.5,451,0.0,0.0,0.0
2024-02-27 00:00:00+11:00,6.300000190734863,6.400000095367432,6.199999809265137,6.400000095367432,4357,0.0,0.0,0.0
2024-02-28 00:00:00+11:00,6.349999904632568,6.349999904632568,6.079999923706055,6.199999809265137,10265,0.0,0.0,0.0
2024-02-29 00:00:00+11:00,6.164999961853027,6.199999809265137,5.559999942779541,6.199999809265137,25155,0.0,0.0,0.0
2024-03-01 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-04 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-05 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-06 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-07 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-08 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-11 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-12 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-13 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-14 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-15 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-18 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-19 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-20 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-21 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-22 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-25 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-26 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-27 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-03-28 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-02 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-03 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-04 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-05 00:00:00+11:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-08 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-09 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-10 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-11 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-12 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-15 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-16 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-17 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-18 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-19 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-22 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-23 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-24 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-26 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-29 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-04-30 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-01 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-02 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-03 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-06 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-07 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-08 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-09 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-10 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-13 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-14 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-15 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-16 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-17 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-20 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-21 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-22 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-23 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-24 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-27 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-28 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-29 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-30 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-05-31 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-06-03 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-06-04 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-06-05 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-06-06 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-06-07 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-06-11 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-06-12 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-06-13 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
2024-06-14 00:00:00+10:00,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0,0.0,0.0,0.0
