squeeze_threshold,adx_min,require_fvg,target_rr,cooldown_hours,total_trades,win_rate,net_profit,return_pct,max_loss_streak,sharpe
1.3,25,True,3.0,0,7,42.857142857142854,29.11722800000115,8.088118888889207,2,0.7276994549149538
1.3,25,True,3.0,4,7,42.857142857142854,29.11722800000115,8.088118888889207,2,0.7276994549149538
1.3,20,False,3.0,0,14,35.714285714285715,28.62002480000143,7.950006888889287,3,0.512470739118202
1.3,22,False,3.0,0,14,35.714285714285715,28.62002480000143,7.950006888889287,3,0.512470739118202
1.3,25,True,2.5,0,7,42.857142857142854,18.144989900001065,5.040274972222518,2,0.5246885505968776
1.3,25,True,2.5,4,7,42.857142857142854,18.144989900001065,5.040274972222518,2,0.5246885505968776
1.3,25,False,3.0,0,12,33.33333333333333,15.98004080000078,4.438900222222439,3,0.32064302535344746
1.3,25,False,3.0,4,12,33.33333333333333,15.98004080000078,4.438900222222439,3,0.32064302535344746
1.3,20,True,3.0,0,9,33.33333333333333,11.932701600000883,3.3146393333335786,3,0.28415817754422035
1.3,20,True,3.0,4,9,33.33333333333333,11.932701600000883,3.3146393333335786,3,0.28415817754422035
1.3,22,True,3.0,0,9,33.33333333333333,11.932701600000883,3.3146393333335786,3,0.28415817754422035
1.3,22,True,3.0,4,9,33.33333333333333,11.932701600000883,3.3146393333335786,3,0.28415817754422035
1.3,20,False,2.5,0,14,35.714285714285715,10.719329600000776,2.977591555555771,3,0.2242970124266549
1.3,20,False,2.5,4,14,35.714285714285715,10.719329600000776,2.977591555555771,3,0.2242970124266549
1.3,22,False,2.5,0,14,35.714285714285715,10.719329600000776,2.977591555555771,3,0.2242970124266549
1.3,22,False,2.5,4,14,35.714285714285715,10.719329600000776,2.977591555555771,3,0.2242970124266549
1.2,25,True,3.0,0,6,33.33333333333333,7.929027200000405,2.2025075555556684,4,0.2285746911833388
1.2,25,True,3.0,4,6,33.33333333333333,7.929027200000405,2.2025075555556684,4,0.2285746911833388
1.3,20,False,3.0,4,13,30.76923076923077,7.57314240000062,2.103650666666839,3,0.1520496965119855
1.3,22,False,3.0,4,13,30.76923076923077,7.57314240000062,2.103650666666839,3,0.1520496965119855
1.5,20,False,3.0,0,20,30.0,7.434487200000831,2.065135333333564,5,0.11874503872068914
1.2,25,False,3.0,0,10,30.0,3.6569344000000683,1.0158151111111302,5,0.08312434160111591
1.2,25,False,3.0,4,10,30.0,3.6569344000000683,1.0158151111111302,5,0.08312434160111591
1.3,25,False,2.5,0,12,33.33333333333333,2.0206423000005316,0.5612895277779254,3,0.047130116301448664
1.3,25,False,2.5,4,12,33.33333333333333,2.0206423000005316,0.5612895277779254,3,0.047130116301448664
1.3,20,True,2.5,0,9,33.33333333333333,1.4497590000007676,0.40271083333354657,3,0.03993791231880472
1.3,20,True,2.5,4,9,33.33333333333333,1.4497590000007676,0.40271083333354657,3,0.03993791231880472
1.3,22,True,2.5,0,9,33.33333333333333,1.4497590000007676,0.40271083333354657,3,0.03993791231880472
1.3,22,True,2.5,4,9,33.33333333333333,1.4497590000007676,0.40271083333354657,3,0.03993791231880472
1.2,25,True,2.5,0,6,33.33333333333333,1.0212009000003945,0.28366691666677624,4,0.033916597742694746
1.2,25,True,2.5,4,6,33.33333333333333,1.0212009000003945,0.28366691666677624,4,0.033916597742694746
1.2,20,True,3.0,0,7,28.57142857142857,-0.2908399999996618,-0.08078888888879494,4,-0.008226104528624921
1.2,20,True,3.0,4,7,28.57142857142857,-0.2908399999996618,-0.08078888888879494,4,-0.008226104528624921
1.2,22,True,3.0,0,7,28.57142857142857,-0.2908399999996618,-0.08078888888879494,4,-0.008226104528624921
1.2,22,True,3.0,4,7,28.57142857142857,-0.2908399999996618,-0.08078888888879494,4,-0.008226104528624921
1.5,25,True,3.0,0,11,27.27272727272727,-4.473093599999402,-1.242525999999834,4,-0.10300033097546375
1.2,20,False,3.0,0,11,27.27272727272727,-4.5031704000000445,-1.250880666666679,5,-0.10227348108347258
1.2,20,False,3.0,4,11,27.27272727272727,-4.5031704000000445,-1.250880666666679,5,-0.10227348108347258
1.2,22,False,3.0,0,11,27.27272727272727,-4.5031704000000445,-1.250880666666679,5,-0.10227348108347258
1.2,22,False,3.0,4,11,27.27272727272727,-4.5031704000000445,-1.250880666666679,5,-0.10227348108347258
1.5,25,True,3.0,4,11,27.27272727272727,-4.527323999999396,-1.2575899999998323,4,-0.1043110968534042
1.5,20,False,3.0,4,18,27.77777777777778,-4.720411200000228,-1.3112253333333967,5,-0.08356175827183897
1.5,20,False,2.5,4,19,31.57894736842105,-5.189262700000029,-1.4414618611111192,5,-0.0973529348188827
1.2,25,False,2.5,0,10,30.0,-6.555819699999972,-1.8210610277777701,5,-0.1724841359798448
1.2,25,False,2.5,4,10,30.0,-6.555819699999972,-1.8210610277777701,5,-0.1724841359798448
1.2,20,True,2.5,0,7,28.57142857142857,-7.0227818999997,-1.9507727499999166,4,-0.22881975851697975
1.2,20,True,2.5,4,7,28.57142857142857,-7.0227818999997,-1.9507727499999166,4,-0.22881975851697975
1.2,22,True,2.5,0,7,28.57142857142857,-7.0227818999997,-1.9507727499999166,4,-0.22881975851697975
1.2,22,True,2.5,4,7,28.57142857142857,-7.0227818999997,-1.9507727499999166,4,-0.22881975851697975
1.5,20,True,3.0,0,15,26.666666666666668,-8.531975199999636,-2.3699931111110097,4,-0.1705098641301789
1.5,25,False,3.0,4,15,26.666666666666668,-8.616517600000236,-2.3934771111111766,5,-0.16950381479832982
