Entry_Time,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Direction,PnL,RR,Exit_Reason,Balance,peak
2025-10-30 02:45:00+00:00,47.33445,47.60912299132936,47.60912299132936,46.6477675216766,SELL,-7.2,-1.0,STOP_LOSS,352.8,352.8
2025-11-12 01:00:00+00:00,51.2311,51.05099398983184,51.05099398983184,51.6813650254204,BUY,-7.056,-1.0,STOP_LOSS,345.744,352.8
2025-11-14 00:15:00+00:00,52.7772,53.52101440561755,52.47967423775298,53.52101440561755,BUY,17.287200000000002,2.5,TAKE_PROFIT,363.0312,363.0312
2025-11-14 01:30:00+00:00,52.84255,52.55037471953282,52.55037471953282,53.57298820116796,BUY,-7.260624,-1.0,STOP_LOSS,355.770576,363.0312
2025-12-09 23:15:00+00:00,60.8654,61.51239271176617,60.606602915293536,61.51239271176617,BUY,17.788528800000098,2.5000000000000138,TAKE_PROFIT,373.5591048000001,373.5591048000001
2025-12-10 01:00:00+00:00,60.9754,61.61317938050054,60.720288247799786,61.61317938050054,BUY,18.67795524000011,2.5000000000000138,TAKE_PROFIT,392.23706004000024,392.23706004000024
2025-12-23 23:00:00+00:00,71.69375,72.65230528537619,71.31032788584952,72.65230528537619,BUY,19.611853002000014,2.5,TAKE_PROFIT,411.8489130420003,411.8489130420003
2026-01-06 20:45:00+00:00,81.27805,80.54558161324972,80.54558161324972,83.10922096687567,BUY,-8.236978260840006,-1.0,STOP_LOSS,403.61193478116024,411.8489130420003
2026-01-27 20:45:00+00:00,112.1071,117.03713923373437,110.13508430650626,117.03713923373437,BUY,20.180596739058014,2.5,TAKE_PROFIT,423.79253152021823,423.79253152021823
2026-01-30 02:15:00+00:00,110.53255,103.25931192378536,113.44184523048585,103.25931192378536,SELL,21.189626576010934,2.500000000000002,TAKE_PROFIT,444.98215809622917,444.98215809622917
2026-02-05 02:00:00+00:00,82.9798,77.98720969709544,84.97683612116182,77.98720969709544,SELL,22.249107904811428,2.4999999999999964,TAKE_PROFIT,467.2312660010406,467.2312660010406
2026-02-09 23:00:00+00:00,81.5304,82.4591352791865,82.4591352791865,79.20856180203376,SELL,-9.344625320020812,-1.0,STOP_LOSS,457.88664068101974,467.2312660010406
