total_trades,win_rate,wins,losses,net_profit,return_pct,sharpe,max_loss_streak,avg_rr,target_rr,squeeze_threshold,use_squeeze,cooldown_hours,time_blocks
16,62.5,10,6,-53.53135363824011,-14.869820455066677,-1.4088243072253825,3,-0.6336538810016896,1.5,1.5,False,4,"[8, 9, 10, 14, 15, 16]"
16,62.5,10,6,-53.53135363824011,-14.869820455066677,-1.4088243072253825,3,-0.6336538810016896,1.5,1.8,False,0,"[8, 9, 10, 14, 15, 16]"
16,62.5,10,6,-53.53135363824011,-14.869820455066677,-1.4088243072253825,3,-0.6336538810016896,1.5,1.8,False,4,"[8, 9, 10, 14, 15, 16]"
25,48.0,12,13,-78.09359334559856,-21.692664818221836,-1.3166738284396091,3,-0.5523747573002159,2.5,1.3,False,0,[]
25,48.0,12,13,-78.09359334559856,-21.692664818221836,-1.3166738284396091,3,-0.5523747573002159,2.5,1.3,False,4,[]
25,48.0,12,13,-78.09359334559856,-21.692664818221836,-1.3166738284396091,3,-0.5523747573002159,2.5,1.5,False,0,[]
25,48.0,12,13,-78.09359334559856,-21.692664818221836,-1.3166738284396091,3,-0.5523747573002159,2.5,1.5,False,4,[]
25,48.0,12,13,-78.09359334559856,-21.692664818221836,-1.3166738284396091,3,-0.5523747573002159,2.5,1.8,False,0,[]
25,48.0,12,13,-78.09359334559856,-21.692664818221836,-1.3166738284396091,3,-0.5523747573002159,2.5,1.8,False,4,[]
25,60.0,15,10,-88.3405321656107,-24.539036712669603,-1.955282787859002,3,-0.6859438231218173,1.5,1.3,False,0,[]
25,60.0,15,10,-88.3405321656107,-24.539036712669603,-1.955282787859002,3,-0.6859438231218173,1.5,1.3,False,4,[]
25,60.0,15,10,-88.3405321656107,-24.539036712669603,-1.955282787859002,3,-0.6859438231218173,1.5,1.5,False,0,[]
25,60.0,15,10,-88.3405321656107,-24.539036712669603,-1.955282787859002,3,-0.6859438231218173,1.5,1.5,False,4,[]
25,60.0,15,10,-88.3405321656107,-24.539036712669603,-1.955282787859002,3,-0.6859438231218173,1.5,1.8,False,0,[]
25,60.0,15,10,-88.3405321656107,-24.539036712669603,-1.955282787859002,3,-0.6859438231218173,1.5,1.8,False,4,[]
25,52.0,13,12,-89.98974391000328,-24.997151086112062,-1.7637655244597683,3,-0.6483627573002234,2.0,1.3,False,0,[]
25,52.0,13,12,-89.98974391000328,-24.997151086112062,-1.7637655244597683,3,-0.6483627573002234,2.0,1.3,False,4,[]
25,52.0,13,12,-89.98974391000328,-24.997151086112062,-1.7637655244597683,3,-0.6483627573002234,2.0,1.5,False,0,[]
25,52.0,13,12,-89.98974391000328,-24.997151086112062,-1.7637655244597683,3,-0.6483627573002234,2.0,1.5,False,4,[]
25,52.0,13,12,-89.98974391000328,-24.997151086112062,-1.7637655244597683,3,-0.6483627573002234,2.0,1.8,False,0,[]
25,52.0,13,12,-89.98974391000328,-24.997151086112062,-1.7637655244597683,3,-0.6483627573002234,2.0,1.8,False,4,[]
