Trade_Num,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Position_Size,Profit,Profit_Pct,Actual_RR,Exit_Reason,Balance,peak,drawdown
78,2025-11-26 13:45:00+00:00,2025-11-26 14:30:00+00:00,BUY,0.80812,0.80715,0.8066325268515309,0.8107949462969382,4258.044441778812,-4.130303108525087,-1.1473064190347464,-0.652112611913864,Price (0.80715) crossed below EMA9 (0.80735),312.55603549817624,427.6049617121833,-0.2690542358379961
79,2025-11-26 17:30:00+00:00,2025-11-26 20:30:00+00:00,SELL,0.80422,0.80438,0.8056162943780365,0.8017274112439272,4476.93610193732,-0.7163097763096935,-0.19897493786380374,-0.11458901684108948,Price (0.80438) crossed above EMA9 (0.80426),311.83972572186656,427.6049617121833,-0.27072940296758574
80,2025-11-26 17:45:00+00:00,2025-11-26 20:30:00+00:00,SELL,0.8042,0.80438,0.8055472733510338,0.8018054532979324,4629.19756384381,-0.8332555614916912,-0.23145987819213645,-0.1336031770106932,Price (0.80438) crossed above EMA9 (0.80426),311.0064701603749,427.6049617121833,-0.272678060340866
81,2025-11-26 18:00:00+00:00,2025-11-26 20:30:00+00:00,SELL,0.80408,0.80438,0.8053788966831028,0.8017822066337943,4788.779187848043,-1.4366337563542546,-0.3990649323206263,-0.23096525220414776,Price (0.80438) crossed above EMA9 (0.80426),309.56983640402063,427.6049617121833,-0.27603778224540565
82,2025-11-26 23:30:00+00:00,2025-11-27 02:30:00+00:00,SELL,0.8038,0.80318,0.8045880011720699,0.80252399765586,7857.090760178755,4.871396271310466,1.3531656309195739,0.7868008601704964,Price (0.80318) crossed above EMA9 (0.80311),314.4412326753311,427.6049617121833,-0.2646455003322005
83,2025-11-26 23:45:00+00:00,2025-11-27 02:30:00+00:00,SELL,0.80346,0.80318,0.8042524296597792,0.8021751406804415,7936.129820353775,2.222116349698636,0.6172545415829545,0.35334366469569056,Price (0.80318) crossed above EMA9 (0.80311),316.66334902502973,427.6049617121833,-0.2594488432569388
84,2025-11-27 00:00:00+00:00,2025-11-27 02:30:00+00:00,SELL,0.80335,0.80318,0.804139398969795,0.80207120206041,8022.897448352558,1.3638925662199628,0.3788590461722119,0.21535371403404155,Price (0.80318) crossed above EMA9 (0.80311),318.0272415912497,427.6049617121833,-0.2562592344162023
85,2025-12-03 06:00:00+00:00,2025-12-03 06:45:00+00:00,SELL,0.80182,0.8010166922942954,0.8023716538528523,0.8010166922942954,11529.956328480983,9.262102765106075,2.5728063236405765,1.4561807219348777,TAKE_PROFIT,327.2893443563558,427.6049617121833,-0.234598815116998
86,2025-12-03 06:15:00+00:00,2025-12-03 07:15:00+00:00,SELL,0.8015,0.8020843928633629,0.8020843928633629,0.8006312142732743,11201.004148920629,-6.545786887127116,-1.8182741353130878,-1.0,STOP_LOSS,320.7435574692287,427.6049617121833,-0.24990683881465806
87,2025-12-03 07:00:00+00:00,2025-12-03 07:15:00+00:00,SELL,0.80104,0.8017377409332391,0.8017377409332391,0.7999445181335217,9193.772134887546,-6.414871149384573,-1.781908652606826,-1.0,STOP_LOSS,314.3286863198441,427.6049617121833,-0.26490870203836486
88,2025-12-03 10:30:00+00:00,2025-12-03 14:00:00+00:00,SELL,0.8007,0.80078,0.8017425537580611,0.7989148924838776,6029.975603452788,-0.4823980482767055,-0.13399945785464043,-0.07673465217645503,Price (0.80078) crossed above EMA9 (0.80028),313.8462882715674,427.6049617121833,-0.26603684153970536
89,2025-12-03 11:15:00+00:00,2025-12-03 14:00:00+00:00,SELL,0.80025,0.80078,0.8012852626116839,0.7984794747766324,6063.124172157582,-3.213455811243703,-0.892626614234362,-0.5119473977119555,Price (0.80078) crossed above EMA9 (0.80028),310.6328324603237,427.6049617121833,-0.2735518521195093
90,2025-12-03 12:15:00+00:00,2025-12-03 14:00:00+00:00,SELL,0.80004,0.80078,0.8010143941444268,0.7983912117111464,6375.917471118622,-4.718178928628252,-1.310605257952292,-0.7594462715448619,Price (0.80078) crossed above EMA9 (0.80028),305.9146535316954,427.6049617121833,-0.2845858188670795
91,2025-12-04 09:45:00+00:00,,SELL,0.7997,0.80036,0.8007646961236649,0.7978706077526703,5746.515775387228,-3.792700411755536,-1.0535278921543154,-0.6198951844852667,Price (0.80036) crossed above EMA9 (0.80025),302.12195311993986,427.6049617121833,-0.29345545498301495
92,2025-12-04 19:00:00+00:00,2025-12-04 21:45:00+00:00,BUY,0.80303,0.80341,0.8019365003374956,0.8049169993250087,5525.78045480154,2.099796572824231,0.5832768257845087,0.3475081090831274,Price (0.80341) crossed below EMA9 (0.80354),304.2217496927641,427.6049617121833,-0.2885448558065779
93,2025-12-04 19:45:00+00:00,2025-12-04 21:45:00+00:00,BUY,0.80318,0.80341,0.8021889691113258,0.8048620617773484,6139.500860558172,1.4120851979280875,0.3922458883133576,0.23208156539664954,Price (0.80341) crossed below EMA9 (0.80354),305.6338348906922,427.6049617121833,-0.28524254333509974
