Trade_Num,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Position_Size,Position_Mult,Profit,Profit_Pct,Actual_RR,Exit_Reason,Consecutive_Losses,Balance,peak,drawdown
1,2025-10-27 19:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,25846.6,25975.833000000002,25794.906799999997,25975.833000000002,0.0696416549952391,1.0,9.0,2.5,2.5,TAKE_PROFIT,0,369.0,369.0,0.0
2,2025-10-27 20:00:00+00:00,2025-10-28 04:00:00+00:00,BUY,25889.3,25837.521399999998,25837.521399999998,26018.7465,0.07126496274522479,1.0,-3.6900000000000004,-1.0250000000000001,-1.0,STOP_LOSS,1,365.31,369.0,-0.009999999999999993
3,2025-10-27 22:00:00+00:00,2025-10-28 07:00:00+00:00,BUY,25881.2,25829.4376,25829.4376,26010.606,0.05293079532633766,0.75,-2.739825,-0.7610625,-1.0,STOP_LOSS,2,362.570175,369.0,-0.017424999999999982
4,2025-10-27 23:00:00+00:00,2025-10-28 15:00:00+00:00,BUY,25879.8,26009.199,25828.040399999998,26009.199,0.052536656243478225,0.75,6.798190781249905,1.8883863281249735,2.499999999999965,TAKE_PROFIT,0,369.3683657812499,369.3683657812499,0.0
5,2025-10-28 00:00:00+00:00,2025-10-28 15:00:00+00:00,BUY,25860.6,25989.903,25808.8788,25989.903,0.07141527377192529,1.0,9.234209144531247,2.565058095703124,2.5,TAKE_PROFIT,0,378.60257492578114,378.60257492578114,0.0
6,2025-10-28 01:00:00+00:00,2025-10-28 15:00:00+00:00,BUY,25854.4,25983.672000000002,25802.6912,25983.672000000002,0.07321820945869537,1.0,9.465064373144529,2.6291845480957026,2.5,TAKE_PROFIT,0,388.06763929892566,388.06763929892566,0.0
7,2025-10-28 02:00:00+00:00,2025-10-28 15:00:00+00:00,BUY,25862.4,25991.712,25810.6752,25991.712,0.0750254499386998,1.0,9.701690982473005,2.694914161798057,2.499999999999965,TAKE_PROFIT,0,397.76933028139865,397.76933028139865,0.0
8,2025-10-28 03:00:00+00:00,2025-10-28 15:00:00+00:00,BUY,25867.0,25996.335,25815.266,25996.335,0.07688741065477167,1.0,9.944233257034828,2.7622870158430075,2.499999999999965,TAKE_PROFIT,0,407.7135635384335,407.7135635384335,0.0
9,2025-10-28 04:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,25843.0,25972.215000000004,25791.314,25972.215000000004,0.07888278519104237,1.0,10.192839088460838,2.8313441912391215,2.5,TAKE_PROFIT,0,417.90640262689436,417.90640262689436,0.0
10,2025-10-28 05:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,25846.4,25975.632000000005,25794.7072,25975.632000000005,0.08084421865847634,1.0,10.447660065672506,2.9021277960201406,2.500000000000035,TAKE_PROFIT,0,428.35406269256686,428.35406269256686,0.0
11,2025-10-28 06:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,25843.0,25972.215000000004,25791.314,25972.215000000004,0.08287622619133893,1.0,10.708851567314174,2.9746809909206036,2.5,TAKE_PROFIT,0,439.06291425988104,439.06291425988104,0.0
12,2025-10-28 07:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,25843.0,25972.215000000004,25791.314,25972.215000000004,0.08494813184612239,1.0,10.976572856497025,3.049048015693618,2.5,TAKE_PROFIT,0,450.03948711637804,450.03948711637804,0.0
13,2025-10-28 08:00:00+00:00,2025-10-28 15:00:00+00:00,BUY,25853.6,25982.868000000002,25801.892799999998,25982.868000000002,0.08703613560903928,1.0,11.25098717790961,3.1252742160860025,2.500000000000035,TAKE_PROFIT,0,461.29047429428766,461.29047429428766,0.0
14,2025-10-28 09:00:00+00:00,2025-10-28 15:00:00+00:00,BUY,25860.8,25990.104,25809.0784,25990.104,0.08918720114889733,1.0,11.532261857357028,3.2034060714880637,2.499999999999965,TAKE_PROFIT,0,472.8227361516447,472.8227361516447,0.0
15,2025-10-28 10:00:00+00:00,2025-10-28 15:00:00+00:00,BUY,25863.0,25992.314999999995,25811.274,25992.314999999995,0.09140910492820943,1.0,11.82056840379095,3.2834912232752638,2.499999999999965,TAKE_PROFIT,0,484.64330455543563,484.64330455543563,0.0
16,2025-10-28 11:00:00+00:00,2025-10-28 15:00:00+00:00,BUY,25879.0,26008.395000000004,25827.242,26008.395000000004,0.09363640491429737,1.0,12.11608261388589,3.3655785038571917,2.5,TAKE_PROFIT,0,496.75938716932154,496.75938716932154,0.0
17,2025-10-28 12:00:00+00:00,2025-10-28 15:00:00+00:00,BUY,25897.5,26026.987499999996,25845.705,26026.987499999996,0.09590875319419602,1.0,12.418984679233038,3.4497179664536213,2.5,TAKE_PROFIT,0,509.1783718485546,509.1783718485546,0.0
18,2025-10-28 13:00:00+00:00,,BUY,25949.2,25897.301600000003,25897.301600000003,26078.945999999996,0.09811061070255964,1.0,-5.091783718485546,-1.414384366245985,-1.0,STOP_LOSS,1,504.08658813006906,509.1783718485546,-0.009999999999999997
19,2025-10-28 14:00:00+00:00,2025-10-28 17:00:00+00:00,BUY,25920.6,26050.202999999994,25868.7588,26050.202999999994,0.07292750574785298,0.75,9.451623527438663,2.6254509798440733,2.499999999999965,TAKE_PROFIT,0,513.5382116575078,513.5382116575078,0.0
20,2025-10-28 15:00:00+00:00,2025-10-28 17:00:00+00:00,BUY,25947.9,26077.639499999997,25896.004200000003,26077.639499999997,0.09895564027484371,1.0,12.838455291437695,3.5662375809549154,2.5,TAKE_PROFIT,0,526.3766669489454,526.3766669489454,0.0
21,2025-10-28 16:00:00+00:00,2025-10-29 01:00:00+00:00,BUY,25995.9,26125.879500000003,25943.9082,26125.879500000003,0.10124224722916837,1.0,13.15941667372382,3.655393520478839,2.500000000000035,TAKE_PROFIT,0,539.5360836226693,539.5360836226693,0.0
22,2025-10-28 17:00:00+00:00,2025-10-29 05:00:00+00:00,BUY,26040.9,26171.1045,25988.8182,26171.1045,0.1035939778622609,1.0,13.488402090566732,3.7467783584907584,2.5,TAKE_PROFIT,0,553.024485713236,553.024485713236,0.0
23,2025-10-28 18:00:00+00:00,2025-10-29 13:00:00+00:00,BUY,26082.0,26212.410000000003,26029.836,26212.410000000003,0.10601650289725269,1.0,13.825612142831094,3.840447817453082,2.500000000000035,TAKE_PROFIT,0,566.8500978560671,566.8500978560671,0.0
24,2025-10-28 19:00:00+00:00,2025-10-29 05:00:00+00:00,BUY,26047.7,26177.938499999997,25995.604600000002,26177.938499999997,0.10881000968532448,1.0,14.17125244640168,3.9364590128893555,2.5,TAKE_PROFIT,0,581.0213503024688,581.0213503024688,0.0
25,2025-10-28 20:00:00+00:00,2025-10-29 07:00:00+00:00,BUY,26060.9,26191.204500000003,26008.7782,26191.204500000003,0.11147376919109853,1.0,14.525533757561721,4.034870488211589,2.5,TAKE_PROFIT,0,595.5468840600305,595.5468840600305,0.0
26,2025-10-28 22:00:00+00:00,2025-10-29 07:00:00+00:00,BUY,26060.1,26190.400500000003,26007.979799999997,26190.400500000003,0.11426412102409751,1.0,14.888672101500969,4.135742250416936,2.500000000000035,TAKE_PROFIT,0,610.4355561615315,610.4355561615315,0.0
27,2025-10-28 23:00:00+00:00,2025-10-29 12:00:00+00:00,BUY,26070.8,26201.153999999995,26018.6584,26201.153999999995,0.11707265526212142,1.0,15.260888904038074,4.239135806677242,2.499999999999965,TAKE_PROFIT,0,625.6964450655696,625.6964450655696,0.0
28,2025-10-29 00:00:00+00:00,2025-10-29 07:00:00+00:00,BUY,26062.0,26192.309999999998,26009.876,26192.309999999998,0.12003999022821964,1.0,15.642411126639022,4.345114201844172,2.499999999999965,TAKE_PROFIT,0,641.3388561922086,641.3388561922086,0.0
29,2025-10-29 01:00:00+00:00,2025-10-29 17:00:00+00:00,BUY,26102.6,26050.3948,26050.3948,26233.112999999998,0.12284961195287146,1.0,-6.413388561922086,-1.781496822756135,-1.0,STOP_LOSS,1,634.9254676302866,641.3388561922086,-0.009999999999999919
30,2025-10-29 02:00:00+00:00,2025-10-29 17:00:00+00:00,BUY,26126.7,26074.4466,26074.4466,26257.333500000004,0.09113169683172807,0.75,-4.761941007227149,-1.3227613908964302,-1.0,STOP_LOSS,2,630.1635266230594,641.3388561922086,-0.017424999999999944
31,2025-10-29 03:00:00+00:00,2025-10-29 17:00:00+00:00,BUY,26132.0,26079.736,26079.736,26262.659999999996,0.0904298647189847,0.75,-4.726226449672946,-1.3128406804647073,-1.0,STOP_LOSS,3,625.4373001733865,641.3388561922086,-0.02479431249999993
32,2025-10-29 04:00:00+00:00,2025-10-29 17:00:00+00:00,BUY,26133.0,26080.734,26080.734,26263.665,0.05983213754385174,0.5,-3.1271865008669324,-0.8686629169074813,-1.0,STOP_LOSS,4,622.3101136725195,641.3388561922086,-0.029670340937499987
33,2025-10-29 05:00:00+00:00,2025-10-29 15:00:00+00:00,BUY,26148.0,26095.704,26095.704,26278.739999999998,0.05949882530906168,0.5,-3.1115505683625977,-0.8643196023229438,-1.0,STOP_LOSS,5,619.1985631041568,641.3388561922086,-0.034521989232812564
