symbol,filters,di_slope,adx_rising,adx_min,atr_ratio,avoid_hours,trades,win_rate,roi,sharpe,max_dd
UK100_GBP,"di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23]",True,True,20.0,1.2,"[20, 21, 22, 23]",17,41.2,35.99,8.25,-2.97
UK100_GBP,"di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[19, 20, 21, 22, 23]",True,True,20.0,1.2,"[19, 20, 21, 22, 23]",17,41.2,35.99,8.25,-2.97
UK100_GBP,"di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23, 0, 1, 2]",True,True,20.0,1.2,"[20, 21, 22, 23, 0, 1, 2]",17,41.2,35.99,8.25,-2.97
UK100_GBP,"adx_rising, adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23, 0, 1, 2]",False,True,20.0,1.2,"[20, 21, 22, 23, 0, 1, 2]",22,40.9,48.26,8.16,-3.94
UK100_GBP,"adx_rising, adx_min=20, atr_ratio=1.2, avoid=[15, 16, 17, 18, 19]",False,True,20.0,1.2,"[15, 16, 17, 18, 19]",22,40.9,48.26,8.11,-3.94
UK100_GBP,"di_slope, atr_ratio=1.2, avoid=[15, 16, 17, 18, 19]",True,False,0.0,1.2,"[15, 16, 17, 18, 19]",15,40.0,29.58,7.96,-2.97
UK100_GBP,"di_slope, adx_min=15, atr_ratio=1.2, avoid=[15, 16, 17, 18, 19]",True,False,15.0,1.2,"[15, 16, 17, 18, 19]",15,40.0,29.58,7.96,-2.97
EUR_AUD,"di_slope, adx_min=15, avoid=[7, 8]",True,False,15.0,0.0,"[7, 8]",26,30.8,23.3,4.52,-8.65
EUR_AUD,"di_slope, adx_rising, avoid=[14, 15, 16]",True,True,0.0,0.0,"[14, 15, 16]",30,30.0,25.62,4.22,-6.79
EUR_AUD,"di_slope, adx_rising, adx_min=15, avoid=[7, 8]",True,True,15.0,0.0,"[7, 8]",27,29.6,22.06,4.22,-8.65
EUR_AUD,"di_slope, adx_min=20, avoid=[7, 8]",True,False,20.0,0.0,"[7, 8]",24,29.2,18.61,4.17,-6.79
EUR_AUD,"di_slope, adx_min=25, avoid=[7, 8]",True,False,25.0,0.0,"[7, 8]",24,29.2,18.61,4.13,-6.79
EUR_AUD,"di_slope, avoid=[7, 8]",True,False,0.0,0.0,"[7, 8]",35,28.6,26.7,3.87,-7.73
EUR_AUD,"di_slope, adx_rising, adx_min=20, avoid=[7, 8]",True,True,20.0,0.0,"[7, 8]",25,28.0,17.42,3.85,-6.79
EUR_AUD,"avoid=[7, 8]",False,False,0.0,0.0,"[7, 8]",39,28.2,29.08,3.84,-7.73
EUR_AUD,"di_slope, adx_rising, adx_min=15, avoid=[14, 15, 16]",True,True,15.0,0.0,"[14, 15, 16]",28,28.6,20.84,3.8,-8.65
EUR_AUD,"di_slope, avoid=[20, 21, 22, 23]",True,False,0.0,0.0,"[20, 21, 22, 23]",36,27.8,25.43,3.65,-7.73
EUR_AUD,"avoid=[20, 21, 22, 23]",False,False,0.0,0.0,"[20, 21, 22, 23]",40,27.5,27.79,3.6,-7.73
EUR_AUD,"di_slope, adx_min=15, avoid=[20, 21, 22, 23]",True,False,15.0,0.0,"[20, 21, 22, 23]",29,27.6,19.63,3.59,-9.56
EUR_AUD,"di_slope, adx_rising, adx_min=15, avoid=[20, 21, 22, 23]",True,True,15.0,0.0,"[20, 21, 22, 23]",29,27.6,19.63,3.59,-9.56
EUR_AUD,"di_slope, avoid=[14, 15, 16]",True,False,0.0,0.0,"[14, 15, 16]",36,27.8,25.43,3.58,-6.79
EUR_AUD,"di_slope, adx_rising, avoid=[7, 8]",True,True,0.0,0.0,"[7, 8]",29,27.6,19.63,3.58,-7.73
EUR_AUD,"di_slope, adx_min=20",True,False,20.0,0.0,,22,27.3,14.1,3.55,-4.9
EUR_AUD,"di_slope, adx_min=20, avoid=[20, 21, 22, 23]",True,False,20.0,0.0,"[20, 21, 22, 23]",22,27.3,14.1,3.55,-4.9
EUR_AUD,"di_slope, adx_min=15, avoid=[14, 15, 16]",True,False,15.0,0.0,"[14, 15, 16]",29,27.6,19.63,3.53,-8.65
EUR_AUD,"adx_rising, avoid=[14, 15, 16]",False,True,0.0,0.0,"[14, 15, 16]",33,27.3,21.88,3.45,-6.79
EUR_AUD,"di_slope, atr_ratio=1.0, avoid=[7, 8]",True,False,0.0,1.0,"[7, 8]",26,26.9,16.25,3.45,-6.79
EUR_USD,"atr_ratio=1.0, avoid=[20, 21, 22, 23]",False,False,0.0,1.0,"[20, 21, 22, 23]",44,29.5,56.2,5.56,-10.47
EUR_USD,"atr_ratio=1.0, avoid=[19, 20, 21, 22, 23]",False,False,0.0,1.0,"[19, 20, 21, 22, 23]",44,29.5,56.2,5.56,-10.47
EUR_USD,"adx_rising, avoid=[20, 21, 22, 23]",False,True,0.0,0.0,"[20, 21, 22, 23]",36,27.8,37.9,4.84,-12.43
EUR_USD,"adx_rising, avoid=[19, 20, 21, 22, 23]",False,True,0.0,0.0,"[19, 20, 21, 22, 23]",36,27.8,37.9,4.84,-12.43
EUR_USD,"adx_rising, atr_ratio=1.0, avoid=[7, 8]",False,True,0.0,1.0,"[7, 8]",34,26.5,31.41,4.49,-7.73
EUR_USD,"adx_rising, atr_ratio=1.0, avoid=[19, 20, 21, 22, 23]",False,True,0.0,1.0,"[19, 20, 21, 22, 23]",35,25.7,30.1,4.31,-12.43
EUR_USD,"adx_rising, atr_ratio=1.0, avoid=[20, 21, 22, 23]",False,True,0.0,1.0,"[20, 21, 22, 23]",35,25.7,30.1,4.3,-12.43
EUR_USD,"atr_ratio=1.0, avoid=[22, 23, 0, 1, 2, 3]",False,False,0.0,1.0,"[22, 23, 0, 1, 2, 3]",43,25.6,37.62,4.28,-13.13
EUR_USD,"adx_rising, avoid=[7, 8]",False,True,0.0,0.0,"[7, 8]",39,25.6,33.81,4.15,-9.02
EUR_USD,"adx_rising, atr_ratio=1.0, avoid=[22, 23, 0, 1, 2, 3]",False,True,0.0,1.0,"[22, 23, 0, 1, 2, 3]",40,25.0,32.47,4.1,-15.03
EUR_USD,"adx_rising, avoid=[22, 23, 0, 1, 2, 3]",False,True,0.0,0.0,"[22, 23, 0, 1, 2, 3]",41,24.4,31.14,3.88,-15.88
EUR_USD,"atr_ratio=1.0, avoid=[7, 8]",False,False,0.0,1.0,"[7, 8]",41,24.4,31.14,3.84,-8.65
EUR_USD,"di_slope, adx_rising, atr_ratio=1.0, avoid=[22, 23, 0, 1, 2, 3]",True,True,0.0,1.0,"[22, 23, 0, 1, 2, 3]",37,24.3,27.51,3.76,-13.99
EUR_USD,"avoid=[7, 8]",False,False,0.0,0.0,"[7, 8]",41,24.4,31.14,3.73,-10.47
EUR_USD,"avoid=[22, 23, 0, 1, 2, 3]",False,False,0.0,0.0,"[22, 23, 0, 1, 2, 3]",54,24.1,41.26,3.71,-11.36
EUR_USD,"di_slope, adx_min=25, atr_ratio=1.2, avoid=[7, 8]",True,False,25.0,1.2,"[7, 8]",16,25.0,11.9,3.7,-4.9
EUR_USD,"di_slope, adx_min=15, atr_ratio=1.0, avoid=[22, 23, 0, 1, 2, 3]",True,False,15.0,1.0,"[22, 23, 0, 1, 2, 3]",33,24.2,23.97,3.62,-7.91
EUR_USD,"adx_rising, adx_min=20, atr_ratio=1.2, avoid=[22, 23, 0, 1, 2, 3]",False,True,20.0,1.2,"[22, 23, 0, 1, 2, 3]",33,24.2,23.97,3.55,-5.85
EUR_USD,"di_slope, atr_ratio=1.0, avoid=[22, 23, 0, 1, 2, 3]",True,False,0.0,1.0,"[22, 23, 0, 1, 2, 3]",38,23.7,26.23,3.53,-13.3
EUR_USD,"adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23]",False,False,20.0,1.2,"[20, 21, 22, 23]",38,23.7,26.23,3.4,-7.73
