date,dir,entry,exit,result,r,pnl,equity,month
2025-11-12 18:00:00+00:00,BUY,52.539,53.2878,EXIT_SMA,4.241,424.07,10424.07,2025-11
2025-11-13 00:35:00+00:00,SELL,53.168,53.3032,SL,-1.0,-104.24,10319.83,2025-11
2025-11-13 01:45:00+00:00,SELL,52.9713,53.1608,EXIT_SMA,-0.552,-56.98,10262.85,2025-11
2025-11-13 04:40:00+00:00,BUY,53.856,53.8678,EXIT_SMA,0.031,3.21,10266.06,2025-11
2025-11-13 12:00:00+00:00,SELL,53.5855,53.8365,EXIT_SMA,-0.542,-55.59,10210.47,2025-11
2025-11-13 16:05:00+00:00,SELL,53.669,52.9489,EXIT_SMA,1.57,160.35,10370.82,2025-11
2025-11-13 19:40:00+00:00,SELL,52.4954,52.6365,EXIT_SMA,-0.18,-18.65,10352.17,2025-11
2025-11-14 01:20:00+00:00,BUY,52.7468,52.6116,EXIT_SMA,-0.534,-55.26,10296.92,2025-11
2025-11-14 03:50:00+00:00,BUY,53.0867,53.3092,EXIT_SMA,1.19,122.52,10419.43,2025-11
2025-11-14 05:50:00+00:00,SELL,52.773,52.9985,EXIT_SMA,-0.678,-70.62,10348.82,2025-11
2025-11-14 14:40:00+00:00,SELL,52.3032,50.7285,EXIT_SMA,4.767,493.38,10842.19,2025-11
2025-11-16 23:05:00+00:00,SELL,50.3476,50.6504,SL,-1.0,-108.42,10733.77,2025-11
2025-11-17 00:05:00+00:00,BUY,50.936,50.738,EXIT_SMA,-0.311,-33.34,10700.44,2025-11
2025-11-17 06:00:00+00:00,SELL,50.6247,50.8044,EXIT_SMA,-0.746,-79.83,10620.61,2025-11
2025-11-17 11:40:00+00:00,SELL,50.8347,51.0218,EXIT_SMA,-0.774,-82.21,10538.39,2025-11
2025-11-17 20:45:00+00:00,SELL,50.5285,50.0928,EXIT_SMA,1.24,130.68,10669.08,2025-11
2025-11-18 00:50:00+00:00,SELL,49.6038,49.92,EXIT_SMA,-0.566,-60.36,10608.72,2025-11
2025-11-18 07:30:00+00:00,SELL,49.44,49.5729,SL,-1.0,-106.09,10502.63,2025-11
