pair,group,timeframe,trades,median_hold_hours,p90_hold_days,max_hold_days,trades_over_7d,pct_trades_over_7d,R_from_over_7d,R_total,position_days,pct_position_days_from_over_7d,median_leverage
XAU_USD,ACTIVE,15m,322,9.625,4.483333333333339,132.29166666666666,20,6.211180124223603,29.49999999999998,78.05778356038591,745.4895833333333,60.72351782246008,227.2562947232749
XAG_USD,ACTIVE,15m,116,6.375,4.057291666666666,18.635416666666668,3,2.586206896551724,-3.0,32.0,152.875,21.4227309893704,92.8649378590006
NAS100_USD,ACTIVE,15m,262,4.875,3.942708333333335,14.145833333333334,9,3.435114503816794,13.499999999999995,33.85392319323427,317.875,25.560361777428227,209.9295847313396
BCO_USD,ACTIVE,15m,449,6.25,1.9270833333333333,11.25,2,0.4454342984409799,2.6145533141210313,93.9182861215057,326.41666666666663,5.635690579525147,113.14128440366937
JP225_USD,ACTIVE,5m,227,0.8333333333333334,0.2465277777777778,3.1875,0,0.0,0.0,16.6228025009207,29.947916666666668,0.0,233.47163120567376
EUR_USD,INERT,15m,245,7.0,6.397916666666663,325.9583333333333,20,8.16326530612245,29.0,-35.36681131949982,938.9479166666667,77.41599085856289,674.1030303030592
USD_JPY,INERT,15m,697,5.0,2.077083333333333,66.45833333333333,17,2.4390243902439024,19.0,8.90471571962005,743.2916666666667,46.90285329895173,566.2595419846705
UK100_GBP,INERT,15m,270,8.125,5.744791666666666,127.11458333333333,22,8.148148148148149,23.0,4.439074110321197,663.2395833333334,62.91090135226398,283.16342566421713
