Trade_Num,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Position_Size,Position_Mult,Profit,Profit_Pct,Actual_RR,Exit_Reason,Consecutive_Losses,Balance,peak,drawdown
1,2025-10-27 01:00:00+00:00,2025-10-27 08:00:00+00:00,BUY,9663.8,9644.472399999999,9644.472399999999,9712.119,0.18626213290837462,1.0,-3.6,-1.0,-1.0,STOP_LOSS,1,356.4,356.4,0.0
2,2025-10-27 02:00:00+00:00,2025-10-27 08:00:00+00:00,BUY,9665.6,9646.2688,9646.2688,9713.928000000002,0.13827387849693376,0.75,-2.673,-0.7425,-1.0,STOP_LOSS,2,353.727,356.4,-0.007500000000000006
3,2025-10-27 03:00:00+00:00,2025-10-28 11:00:00+00:00,BUY,9658.8,9707.094000000001,9639.482399999999,9707.094000000001,0.13733344204248754,0.75,6.632381250000125,1.8423281250000347,2.500000000000047,TAKE_PROFIT,0,360.3593812500001,360.3593812500001,0.0
4,2025-10-27 04:00:00+00:00,2025-10-27 08:00:00+00:00,BUY,9664.3,9644.971399999999,9644.971399999999,9712.621500000001,0.1864384286756343,1.0,-3.6035938125000015,-1.0009982812500005,-1.0,STOP_LOSS,1,356.75578743750015,360.3593812500001,-0.009999999999999941
5,2025-10-27 05:00:00+00:00,2025-10-27 08:00:00+00:00,BUY,9667.3,9647.9654,9647.9654,9715.6365,0.13838757490619058,0.75,-2.675668405781251,-0.7432412238281253,-1.0,STOP_LOSS,2,354.0801190317189,360.3593812500001,-0.017424999999999986
6,2025-10-27 06:00:00+00:00,2025-10-27 08:00:00+00:00,BUY,9667.0,9647.666,9647.666,9715.335000000003,0.1373539305233159,0.75,-2.655600892737892,-0.7376669146494144,-1.0,STOP_LOSS,3,351.424518138981,360.3593812500001,-0.02479431249999995
7,2025-10-27 07:00:00+00:00,2025-10-28 11:00:00+00:00,BUY,9652.3,9700.561499999998,9632.9954,9700.561499999998,0.09102092717253671,0.5,4.392806476737262,1.2202240213159061,2.5,TAKE_PROFIT,0,355.81732461571823,360.3593812500001,-0.012604241406250029
8,2025-10-27 08:00:00+00:00,2025-10-28 11:00:00+00:00,BUY,9654.6,9702.873,9635.2908,9702.873,0.184273467888739,1.0,8.895433115392956,2.47095364316471,2.5,TAKE_PROFIT,0,364.7127577311112,364.7127577311112,0.0
9,2025-10-27 09:00:00+00:00,2025-10-28 11:00:00+00:00,BUY,9648.0,9696.240000000002,9628.704,9696.240000000002,0.18900951374953667,1.0,9.117818943277952,2.5327274842438756,2.500000000000047,TAKE_PROFIT,0,373.83057667438914,373.83057667438914,0.0
10,2025-10-27 10:00:00+00:00,2025-10-28 11:00:00+00:00,BUY,9653.3,9701.566499999999,9633.9934,9701.566499999999,0.19362838442521796,1.0,9.34576441685973,2.5960456713499247,2.5,TAKE_PROFIT,0,383.17634109124884,383.17634109124884,0.0
11,2025-10-27 11:00:00+00:00,2025-10-27 14:00:00+00:00,BUY,9669.6,9650.2608,9650.2608,9717.948,0.19813453560190802,1.0,-3.831763410912488,-1.0643787252534689,-1.0,STOP_LOSS,1,379.34457768033633,383.17634109124884,-0.01000000000000007
12,2025-10-27 12:00:00+00:00,2025-10-27 14:00:00+00:00,BUY,9667.3,9647.9654,9647.9654,9715.6365,0.14714989358985975,0.75,-2.8450843326025224,-0.7903012035007007,-1.0,STOP_LOSS,2,376.4994933477338,383.17634109124884,-0.017425000000000114
13,2025-10-27 13:00:00+00:00,2025-10-27 14:00:00+00:00,BUY,9669.0,9649.662,9649.662,9717.345,0.14602059158692945,0.75,-2.8237462001080034,-0.7843739444744454,-1.0,STOP_LOSS,3,373.67574714762577,383.17634109124884,-0.02479431250000015
14,2025-10-27 14:00:00+00:00,,BUY,9673.6,9654.2528,9654.2528,9721.968,0.09657101470694021,0.5,-1.8683787357381287,-0.5189940932605913,-1.0,STOP_LOSS,4,371.80736841188764,383.17634109124884,-0.029670340937500164
15,2025-10-27 15:00:00+00:00,2025-10-28 11:00:00+00:00,BUY,9646.3,9694.531500000001,9627.007399999999,9694.531500000001,0.0963600987974339,0.5,4.647592105148596,1.290997806985721,2.5,TAKE_PROFIT,0,376.4549605170362,383.17634109124884,-0.01754122019921893
16,2025-10-27 16:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,9668.8,9717.144,9649.462399999999,9717.144,0.1946751202408891,1.0,9.41137401292573,2.614270559146036,2.499999999999953,TAKE_PROFIT,0,385.86633452996193,385.86633452996193,0.0
17,2025-10-27 17:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,9664.8,9713.123999999996,9645.4704,9713.123999999996,0.19962458329710886,1.0,9.646658363248866,2.679627323124685,2.499999999999953,TAKE_PROFIT,0,395.5129928932108,395.5129928932108,0.0
18,2025-10-27 18:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,9663.8,9712.119,9644.472399999999,9712.119,0.2046363712479563,1.0,9.887824822330272,2.746618006202853,2.5,TAKE_PROFIT,0,405.4008177155411,405.4008177155411,0.0
19,2025-10-27 19:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,9673.3,9721.666500000001,9653.953399999999,9721.666500000001,0.2095462860221047,1.0,10.135020442888527,2.815283456357924,2.5,TAKE_PROFIT,0,415.5358381584296,415.5358381584296,0.0
20,2025-10-27 20:00:00+00:00,2025-10-28 01:00:00+00:00,BUY,9683.0,9663.634,9663.634,9731.415,0.21456978114139727,1.0,-4.155358381584296,-1.154266217106749,-1.0,STOP_LOSS,1,411.38047977684533,415.5358381584296,-0.009999999999999957
21,2025-10-28 01:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,9669.6,9717.948,9650.2608,9717.948,0.15953884329891024,0.75,7.713383995815706,2.142606665504363,2.499999999999953,TAKE_PROFIT,0,419.09386377266105,419.09386377266105,0.0
22,2025-10-28 02:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,9663.0,9711.314999999999,9643.674,9711.314999999999,0.2168549434816725,1.0,10.477346594316723,2.9103740539768674,2.500000000000047,TAKE_PROFIT,0,429.57121036697777,429.57121036697777,0.0
23,2025-10-28 03:00:00+00:00,2025-10-28 11:00:00+00:00,BUY,9659.3,9707.5965,9639.981399999999,9707.5965,0.2223614601301162,1.0,10.739280259174242,2.9831334053261784,2.499999999999953,TAKE_PROFIT,0,440.310490626152,440.310490626152,0.0
24,2025-10-28 04:00:00+00:00,2025-10-28 12:00:00+00:00,BUY,9666.6,9714.932999999997,9647.266800000001,9714.932999999997,0.22774837617475222,1.0,11.007762265653593,3.0577117404593315,2.499999999999953,TAKE_PROFIT,0,451.31825289180557,451.31825289180557,0.0
