Trade_Num,Entry_Time,Entry_Price,Direction,Stop_Loss,Take_Profit,Intended_RR,Position_Size,Exit_Time,Exit_Price,Exit_Reason,PnL,Actual_RR,Balance_After,Return_Pct,Peak,Drawdown
1,2026-01-15 05:35:00+00:00,87.13035,SELL,87.84174250000001,84.9961725,-1.0,10,2026-01-15 05:45:00+00:00,87.84174250000001,STOP_LOSS,-7.636707100000023,-1.0,352.3632929,-2.1213075277777844,352.3632929,0.0
2,2026-01-19 05:30:00+00:00,93.4619,BUY,92.9939905,94.86562850000001,-1.0,15,2026-01-19 08:40:00+00:00,92.9939905,STOP_LOSS,-7.85979960000007,-1.0,344.5034932999999,-4.304585194444475,352.3632929,-2.2305954559888517
3,2026-01-20 11:35:00+00:00,95.52515,BUY,95.04692424999999,96.95982725000002,-1.0,14,2026-01-20 13:00:00+00:00,95.04692424999999,STOP_LOSS,-7.497571760000099,-1.0,337.0059215399998,-6.387244016666721,352.3632929,-4.358391373178183
4,2026-01-22 02:55:00+00:00,92.77945,BUY,92.2073675,94.49569749999998,3.0,11,2026-01-22 15:25:00+00:00,94.49569749999998,TAKE_PROFIT,18.266378129999783,3.0,355.2722996699996,-1.3132500916667784,355.2722996699996,0.0
5,2026-01-22 23:00:00+00:00,96.4737,BUY,95.99073149999998,97.92260550000003,3.0,14,2026-01-23 01:20:00+00:00,97.92260550000003,TAKE_PROFIT,19.474297920000527,3.0,374.74659759000014,4.096277108333371,374.74659759000014,0.0
6,2026-01-23 05:30:00+00:00,98.8982,BUY,98.403109,100.38347300000001,-1.0,15,2026-01-23 08:20:00+00:00,98.403109,STOP_LOSS,-8.316448800000032,-1.0,366.4301487900001,1.7861524416666916,374.74659759000014,-2.219219294713609
7,2026-01-23 15:35:00+00:00,99.9405,BUY,99.4401975,101.44140750000001,3.0,14,2026-01-23 19:00:00+00:00,101.44140750000001,TAKE_PROFIT,20.173204800000153,3.0,386.60335359000027,7.389820441666741,386.60335359000027,0.0
8,2026-01-26 05:35:00+00:00,107.07715,SELL,107.79305999999998,104.92942000000006,-1.0,10,2026-01-26 05:55:00+00:00,107.79305999999998,STOP_LOSS,-7.801562899999796,-1.0,378.8017906900005,5.2227196361112425,386.60335359000027,-2.0179760024206854
9,2026-01-26 11:15:00+00:00,108.40135,SELL,109.22417250000001,105.93288249999995,-1.0,9,2026-01-26 11:50:00+00:00,109.22417250000001,STOP_LOSS,-7.990769790000136,-1.0,370.81102090000036,3.0030613611112105,386.60335359000027,-4.084892834827284
10,2026-01-27 00:45:00+00:00,105.95535,SELL,107.0381425,102.70697249999996,-1.0,6,2026-01-27 01:00:00+00:00,107.0381425,STOP_LOSS,-6.878194260000064,-1.0,363.9328266400003,1.092451844444532,386.60335359000027,-5.864027494712953
