stage,stage_trades,stage_win_rate,stage_exp_R,stage_total_R,stage_roi_pct,stage_cagr_pct,stage_max_dd_pct,stage_cagr_dd,stage_sharpe_daily,stage_pf,stage_streak,stage_h1_R,stage_h2_R,stage_worst_R,base_trades,base_win_rate,base_exp_R,base_total_R,base_roi_pct,base_cagr_pct,base_max_dd_pct,base_cagr_dd,base_sharpe_daily,base_pf,base_streak,base_h1_R,base_h2_R,base_worst_R,d_roi,d_dd,d_totR,paired_n,changed,mean_dR,t,ci_lo,ci_hi,significant,config
lock 1.0R->+0.5R cd0m,379,46.4,0.0247,9.4,6.16,2.04,-21.59,0.09,0.21,1.05,8,0.0499,-0.0003,-1.39,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-29.12,0.03,-25.3,247,77,-0.063,-0.89,-0.2026,0.0765,False,incumbent
lock 1.0R->+0.5R cd90m,359,46.0,0.0082,2.9,-0.22,-0.07,-24.91,-0.0,0.07,1.02,8,-0.0335,0.0497,-1.39,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-35.5,-3.29,-31.8,231,71,-0.0717,-0.98,-0.2156,0.0722,False,incumbent
lock 1.0R->+0.75R cd0m,397,45.8,0.0106,4.2,1.07,0.36,-20.81,0.02,0.09,1.02,8,0.0316,-0.0103,-1.39,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-34.21,0.81,-30.5,243,84,-0.0826,-1.08,-0.2324,0.0673,False,incumbent
lock 1.0R->+0.75R cd90m,382,46.1,0.0286,10.9,8.15,2.68,-22.19,0.12,0.25,1.05,8,0.0419,0.0154,-1.39,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-27.13,-0.57,-23.8,234,82,-0.0665,-0.85,-0.22,0.0869,False,incumbent
lock 1.25R->+0.0R cd0m,313,21.7,0.0591,18.5,15.67,5.04,-20.31,0.25,0.38,1.1,17,-0.0445,0.1621,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-19.61,1.31,-16.2,246,43,-0.0366,-0.74,-0.1333,0.0601,False,incumbent
lock 1.25R->+0.0R cd90m,320,20.3,-0.0015,-0.5,-4.26,-1.46,-32.11,-0.05,-0.01,1.0,19,-0.0433,0.0403,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-39.54,-10.49,-35.2,229,41,-0.0655,-1.21,-0.1713,0.0403,False,incumbent
lock 1.25R->+0.25R cd0m,329,41.6,0.0423,13.9,10.67,3.48,-25.05,0.14,0.29,1.07,8,-0.058,0.1421,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-24.61,-3.43,-20.8,245,51,-0.0666,-1.16,-0.1796,0.0463,False,incumbent
lock 1.25R->+0.25R cd90m,334,40.7,0.015,5.0,1.24,0.42,-34.69,0.01,0.1,1.03,8,-0.0176,0.0476,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-34.04,-13.07,-29.7,227,46,-0.0815,-1.36,-0.199,0.036,False,incumbent
lock 1.25R->+0.5R cd0m,362,40.9,0.0026,0.9,-2.75,-0.94,-26.37,-0.04,0.01,1.0,8,-0.0221,0.0273,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-38.03,-4.75,-33.8,247,59,-0.0951,-1.51,-0.219,0.0287,False,incumbent
lock 1.25R->+0.5R cd90m,339,40.4,-0.0074,-2.5,-5.8,-2.0,-32.35,-0.06,-0.06,0.99,8,-0.0499,0.035,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-41.08,-10.73,-37.2,231,55,-0.0931,-1.43,-0.2208,0.0347,False,incumbent
