stage,stage_trades,stage_win_rate,stage_exp_R,stage_total_R,stage_roi_pct,stage_cagr_pct,stage_max_dd_pct,stage_cagr_dd,stage_sharpe_daily,stage_pf,stage_streak,stage_h1_R,stage_h2_R,stage_worst_R,base_trades,base_win_rate,base_exp_R,base_total_R,base_roi_pct,base_cagr_pct,base_max_dd_pct,base_cagr_dd,base_sharpe_daily,base_pf,base_streak,base_h1_R,base_h2_R,base_worst_R,d_roi,d_dd,d_totR,paired_n,changed,mean_dR,t,ci_lo,ci_hi,significant,config
BE 0.75R->-0.3R,322,21.1,0.0645,20.8,18.47,5.89,-22.69,0.26,0.43,1.11,15,-0.03,0.1591,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-16.81,-1.07,-13.9,251,75,-0.0458,-0.81,-0.1572,0.0656,False,incumbent
BE 0.75R->-0.2R,326,19.9,0.0659,21.5,19.5,6.2,-22.57,0.27,0.46,1.12,18,-0.0487,0.1804,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-15.78,-0.95,-13.2,252,78,-0.0381,-0.64,-0.1543,0.0781,False,incumbent
BE 0.75R->-0.1R,332,18.7,0.0602,20.0,17.88,5.71,-23.26,0.25,0.43,1.12,19,-0.0484,0.1687,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-17.4,-1.64,-14.7,251,79,-0.0355,-0.57,-0.1566,0.0857,False,incumbent
BE 0.75R->0.0R,343,17.5,0.0661,22.7,21.2,6.71,-24.31,0.28,0.49,1.14,20,-0.0932,0.2245,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-14.08,-2.69,-12.0,240,80,-0.05,-0.74,-0.1828,0.0828,False,incumbent
BE 1.0R->-0.3R,314,22.6,0.0602,18.9,16.02,5.14,-20.3,0.25,0.38,1.1,15,-0.0168,0.1372,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-19.26,1.32,-15.8,256,57,-0.0473,-0.95,-0.1451,0.0505,False,incumbent
BE 1.0R->-0.2R,317,22.1,0.0653,20.7,18.19,5.8,-19.49,0.3,0.42,1.11,16,-0.0439,0.1739,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-17.09,2.13,-14.0,257,57,-0.0249,-0.5,-0.1219,0.0721,False,incumbent
BE 1.0R->-0.1R,322,21.1,0.0609,19.6,17.0,5.44,-19.7,0.28,0.41,1.11,16,-0.0201,0.1419,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-18.28,1.92,-15.1,258,59,-0.0267,-0.51,-0.1288,0.0753,False,incumbent
BE 1.0R->0.0R,325,20.6,0.0693,22.5,20.49,6.49,-18.74,0.35,0.47,1.13,17,-0.0675,0.2052,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-14.79,2.88,-12.2,247,58,-0.0243,-0.44,-0.1327,0.0841,False,incumbent
BE 1.5R->-0.3R,289,24.2,0.0636,18.4,15.44,4.97,-24.81,0.2,0.38,1.1,15,-0.112,0.238,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-19.84,-3.19,-16.3,259,37,-0.0236,-0.61,-0.0998,0.0527,False,incumbent
BE 1.5R->-0.2R,297,23.9,0.073,21.7,19.24,6.12,-24.1,0.25,0.44,1.11,16,-0.1307,0.2752,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-16.04,-2.48,-13.0,257,35,-0.0156,-0.4,-0.0916,0.0605,False,incumbent
BE 1.5R->-0.1R,301,23.3,0.0694,20.9,18.35,5.85,-25.09,0.23,0.43,1.11,16,-0.0916,0.2292,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-16.93,-3.47,-13.8,258,37,-0.026,-0.62,-0.1086,0.0566,False,incumbent
BE 1.5R->0.0R,298,23.2,0.0828,24.7,23.0,7.24,-23.5,0.31,0.51,1.14,17,-0.0935,0.2591,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-12.28,-1.88,-10.0,250,37,-0.012,-0.28,-0.097,0.073,False,incumbent
lock 0.5R->+0.0R cd0m,242,16.1,0.1033,25.0,25.63,8.01,-20.12,0.4,0.7,1.27,17,0.0496,0.157,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-66.64,-1.48,-44.1,195,87,-0.2721,-2.82,-0.4614,-0.0828,True,candidate
lock 0.5R->+0.0R cd90m,228,17.5,0.1491,34.0,37.44,11.33,-20.12,0.56,0.93,1.4,17,0.0965,0.2018,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-54.83,-1.48,-35.1,185,83,-0.2652,-2.68,-0.4594,-0.0709,True,candidate
lock 0.5R->+0.25R cd0m,257,63.0,0.1196,30.8,33.46,10.23,-17.04,0.6,0.92,1.32,4,0.0723,0.1667,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-58.81,1.6,-38.3,194,93,-0.2464,-2.45,-0.4438,-0.049,True,candidate
lock 0.5R->+0.25R cd90m,238,63.0,0.146,34.8,38.96,11.75,-17.66,0.67,1.04,1.39,4,0.1113,0.1807,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-53.31,0.98,-34.3,186,90,-0.2342,-2.27,-0.4359,-0.0324,True,candidate
lock 0.75R->+0.0R cd0m,234,19.7,0.1752,41.0,46.94,13.87,-19.27,0.72,1.04,1.42,16,0.094,0.2564,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-45.33,-0.63,-28.1,195,76,-0.2669,-2.91,-0.4468,-0.0871,True,candidate
lock 0.75R->+0.0R cd90m,224,19.6,0.1741,39.0,44.18,13.15,-19.27,0.68,1.02,1.42,16,0.0893,0.2589,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-48.09,-0.63,-30.1,186,74,-0.2476,-2.64,-0.4315,-0.0637,True,candidate
lock 0.75R->+0.25R cd0m,242,58.7,0.188,45.5,54.03,15.7,-16.39,0.96,1.24,1.46,7,0.1219,0.2541,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-38.24,2.25,-23.6,195,79,-0.2118,-2.29,-0.3935,-0.0301,True,candidate
lock 0.75R->+0.25R cd90m,228,58.8,0.205,46.8,56.09,16.22,-16.39,0.99,1.27,1.5,7,0.1447,0.2654,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-36.18,2.25,-22.3,186,77,-0.1925,-2.02,-0.379,-0.0059,True,candidate
lock 0.75R->+0.5R cd0m,253,59.7,0.1917,48.5,59.22,17.0,-16.75,1.01,1.4,1.48,7,0.1706,0.2126,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-33.05,1.89,-20.6,193,89,-0.2205,-2.22,-0.4156,-0.0254,True,candidate
lock 0.75R->+0.5R cd90m,239,59.0,0.1883,45.0,53.86,15.66,-17.17,0.91,1.32,1.46,7,0.1555,0.2208,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-38.41,1.47,-24.1,186,86,-0.2315,-2.28,-0.4308,-0.0322,True,candidate
lock 1.0R->+0.0R cd0m,230,21.3,0.1696,39.0,43.76,13.03,-20.07,0.65,0.98,1.36,16,0.087,0.2522,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-48.51,-1.43,-30.1,197,63,-0.2287,-2.74,-0.3923,-0.0651,True,candidate
lock 1.0R->+0.0R cd90m,219,21.9,0.1918,42.0,48.24,14.21,-20.07,0.71,1.04,1.41,16,0.1284,0.2545,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-44.03,-1.43,-27.1,184,59,-0.2231,-2.59,-0.3921,-0.0542,True,candidate
lock 1.0R->+0.25R cd0m,231,53.2,0.2251,52.0,63.82,18.13,-17.44,1.04,1.31,1.48,7,0.1783,0.2716,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-28.45,1.2,-17.1,197,65,-0.1767,-2.11,-0.3405,-0.0129,True,candidate
lock 1.0R->+0.25R cd90m,219,53.0,0.2272,49.8,60.36,17.28,-17.44,0.99,1.26,1.48,7,0.172,0.2818,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-31.91,1.2,-19.3,184,61,-0.1728,-2.0,-0.3424,-0.0032,True,candidate
lock 1.0R->+0.5R cd0m,237,54.0,0.2321,55.0,69.18,19.42,-15.11,1.29,1.44,1.5,7,0.2161,0.2479,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-23.09,3.53,-14.1,197,73,-0.1754,-1.98,-0.3489,-0.0019,True,candidate
lock 1.0R->+0.5R cd90m,225,54.2,0.2244,50.5,62.0,17.69,-15.53,1.14,1.35,1.49,7,0.183,0.2655,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-30.27,3.11,-18.6,184,69,-0.1987,-2.15,-0.38,-0.0173,True,candidate
lock 1.0R->+0.75R cd0m,250,53.6,0.19,47.5,57.43,16.56,-13.82,1.2,1.31,1.41,7,0.19,0.19,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-34.84,4.82,-21.6,194,84,-0.2116,-2.21,-0.3992,-0.0241,True,candidate
lock 1.0R->+0.75R cd90m,234,54.7,0.2169,50.7,62.81,17.89,-12.72,1.41,1.44,1.48,7,0.2265,0.2073,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-29.46,5.92,-18.4,187,81,-0.2476,-2.54,-0.4388,-0.0565,True,candidate
lock 1.25R->+0.0R cd0m,224,24.1,0.2235,50.1,60.17,17.24,-17.72,0.97,1.21,1.45,16,0.1429,0.304,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-32.1,0.92,-19.0,199,54,-0.1508,-2.03,-0.2964,-0.0051,True,candidate
lock 1.25R->+0.0R cd90m,215,25.1,0.2561,55.1,68.42,19.24,-17.72,1.09,1.3,1.51,16,0.1682,0.3431,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-23.85,0.92,-14.0,186,50,-0.1398,-1.84,-0.2886,0.009,False,candidate
lock 1.25R->+0.25R cd0m,226,50.0,0.258,58.3,74.05,20.57,-15.86,1.3,1.42,1.52,7,0.2035,0.3124,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-18.22,2.78,-10.8,199,56,-0.1106,-1.47,-0.258,0.0369,False,candidate
lock 1.25R->+0.25R cd90m,215,50.2,0.2805,60.3,77.7,21.42,-15.86,1.35,1.46,1.56,7,0.222,0.3385,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-14.57,2.78,-8.8,186,52,-0.1022,-1.32,-0.2535,0.0492,False,candidate
lock 1.25R->+0.5R cd0m,229,51.5,0.2753,63.1,82.89,22.61,-14.12,1.6,1.59,1.57,7,0.2719,0.2787,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-9.38,4.52,-6.0,197,63,-0.1294,-1.58,-0.2898,0.0309,False,candidate
lock 1.25R->+0.5R cd90m,219,52.1,0.2833,62.1,81.29,22.24,-12.82,1.73,1.57,1.59,7,0.2569,0.3096,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-10.98,5.82,-7.0,183,59,-0.1503,-1.75,-0.3182,0.0177,False,candidate
lock 1.25R->+0.75R cd0m,234,52.1,0.3069,71.8,99.78,26.31,-11.74,2.24,1.78,1.64,7,0.3077,0.306,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,7.51,6.9,2.7,194,67,-0.0966,-1.14,-0.2635,0.0702,False,candidate
lock 1.25R->+0.75R cd90m,223,52.9,0.3399,75.8,108.02,28.05,-9.41,2.98,1.92,1.72,7,0.3626,0.3174,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,15.75,9.23,6.7,185,63,-0.1176,-1.35,-0.2877,0.0525,False,candidate
lock 1.25R->+1.0R cd0m,240,52.9,0.2583,62.0,81.96,22.39,-9.95,2.25,1.74,1.55,7,0.2833,0.2333,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-10.31,8.69,-7.1,190,78,-0.1476,-1.59,-0.3292,0.0339,False,candidate
lock 1.25R->+1.0R cd90m,231,52.8,0.2814,65.0,87.44,23.63,-9.04,2.61,1.78,1.6,7,0.3391,0.2241,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-4.83,9.6,-4.1,187,77,-0.1607,-1.72,-0.3438,0.0223,False,candidate
lock 1.5R->+0.0R cd0m,218,26.1,0.2434,53.1,64.78,18.36,-16.1,1.14,1.23,1.45,16,0.1376,0.3491,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-27.49,2.54,-16.0,201,39,-0.0846,-1.39,-0.2041,0.035,False,candidate
lock 1.5R->+0.0R cd90m,210,27.1,0.2764,58.1,73.27,20.39,-15.26,1.34,1.34,1.51,16,0.1905,0.3624,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-19.0,3.38,-11.0,190,37,-0.0789,-1.27,-0.2012,0.0434,False,candidate
lock 1.5R->+0.25R cd0m,219,46.1,0.2799,61.3,79.0,21.72,-14.62,1.49,1.43,1.52,8,0.1927,0.3664,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-13.27,4.02,-7.8,201,40,-0.0498,-0.81,-0.1703,0.0708,False,candidate
lock 1.5R->+0.25R cd90m,211,46.0,0.2787,58.8,74.77,20.74,-13.76,1.51,1.38,1.52,7,0.1881,0.3684,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-17.5,4.88,-10.3,190,38,-0.0447,-0.71,-0.1684,0.0789,False,candidate
lock 1.5R->+0.5R cd0m,221,47.1,0.3057,67.6,90.71,24.35,-13.34,1.82,1.59,1.58,8,0.2636,0.3473,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-1.56,5.3,-1.5,201,45,-0.0622,-0.93,-0.1935,0.0691,False,candidate
lock 1.5R->+0.5R cd90m,213,46.9,0.3031,64.6,85.28,23.14,-12.47,1.86,1.53,1.57,7,0.2358,0.3697,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-6.99,6.17,-4.5,190,43,-0.0605,-0.87,-0.1962,0.0751,False,candidate
lock 1.5R->+0.75R cd0m,224,47.8,0.3284,73.6,102.67,26.93,-12.0,2.24,1.75,1.63,8,0.2902,0.3665,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,10.4,6.64,4.5,198,49,-0.0518,-0.73,-0.1912,0.0877,False,candidate
lock 1.5R->+0.75R cd90m,216,48.6,0.3614,78.1,112.07,28.89,-9.54,3.03,1.86,1.7,7,0.3542,0.3685,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,19.8,9.1,9.0,189,47,-0.0516,-0.71,-0.1947,0.0915,False,candidate
lock 1.5R->+1.0R cd0m,227,49.3,0.3216,73.0,102.14,26.82,-9.98,2.69,1.81,1.63,8,0.3097,0.3333,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,9.87,8.66,3.9,194,58,-0.1034,-1.32,-0.257,0.0503,False,candidate
lock 1.5R->+1.0R cd90m,220,48.2,0.3,66.0,88.61,23.89,-11.72,2.04,1.69,1.58,7,0.2545,0.3455,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-3.66,6.92,-3.1,188,56,-0.1067,-1.34,-0.2624,0.0491,False,candidate
lock 2.0R->+0.0R cd0m,207,30.4,0.3143,65.1,85.24,23.13,-16.94,1.37,1.41,1.52,16,0.1845,0.4428,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-7.03,1.7,-4.0,201,19,-0.0249,-0.61,-0.1048,0.0551,False,candidate
lock 2.0R->+0.0R cd90m,200,30.0,0.3053,61.1,78.26,21.55,-16.1,1.34,1.36,1.51,16,0.22,0.3905,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-14.01,2.54,-8.0,190,19,-0.0263,-0.61,-0.1109,0.0583,False,candidate
lock 2.0R->+0.25R cd0m,208,40.4,0.3248,67.6,90.0,24.19,-15.69,1.54,1.48,1.54,8,0.2188,0.4308,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-2.27,2.95,-1.5,201,20,-0.0149,-0.35,-0.0986,0.0687,False,candidate
lock 2.0R->+0.25R cd90m,201,40.3,0.2975,59.8,76.18,21.07,-14.84,1.42,1.35,1.5,9,0.2275,0.3669,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-16.09,3.8,-9.3,190,20,-0.0158,-0.35,-0.1043,0.0727,False,candidate
lock 2.0R->+0.5R cd0m,211,41.7,0.3604,76.1,106.81,27.8,-14.42,1.93,1.65,1.62,8,0.3095,0.4109,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,14.54,4.22,7.0,201,23,-0.0274,-0.57,-0.1209,0.0662,False,candidate
lock 2.0R->+0.5R cd90m,205,41.5,0.3295,67.6,90.32,24.26,-13.56,1.79,1.52,1.56,9,0.3088,0.35,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-1.95,5.08,-1.5,190,23,-0.0289,-0.57,-0.1279,0.07,False,candidate
lock 2.0R->+0.75R cd0m,213,41.8,0.3653,77.8,110.54,28.57,-13.13,2.18,1.71,1.63,8,0.3325,0.3977,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,18.27,5.51,8.7,201,25,-0.0211,-0.42,-0.1191,0.0768,False,candidate
lock 2.0R->+0.75R cd90m,207,42.5,0.3747,77.6,110.24,28.51,-12.26,2.33,1.72,1.65,9,0.3714,0.3779,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,17.97,6.38,8.5,191,25,-0.0223,-0.42,-0.1254,0.0809,False,candidate
lock 2.0R->+1.0R cd0m,219,42.0,0.361,79.1,113.24,29.13,-11.83,2.46,1.71,1.62,8,0.3761,0.3459,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,20.97,6.81,10.0,199,29,-0.0302,-0.56,-0.1364,0.0761,False,candidate
lock 2.0R->+1.0R cd90m,212,42.5,0.3776,80.1,115.54,29.6,-10.94,2.7,1.79,1.66,9,0.3962,0.359,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,23.27,7.7,11.0,189,29,-0.0317,-0.56,-0.1436,0.0802,False,candidate
lock 2.0R->+1.5R cd0m,220,42.3,0.3775,83.1,122.17,30.93,-10.26,3.01,1.84,1.65,8,0.4227,0.3323,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,29.9,8.38,14.0,198,39,-0.0328,-0.55,-0.1501,0.0844,False,candidate
lock 2.0R->+1.5R cd90m,214,42.5,0.3928,84.1,124.5,31.39,-11.16,2.81,1.9,1.68,8,0.4159,0.3697,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,32.23,7.48,15.0,191,39,-0.034,-0.55,-0.1556,0.0875,False,candidate
lock 2.5R->+0.0R cd0m,205,31.7,0.3125,64.1,83.17,22.67,-15.31,1.48,1.38,1.49,10,0.2059,0.418,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-9.1,3.33,-5.0,203,9,-0.0148,-0.52,-0.0703,0.0408,False,candidate
lock 2.5R->+0.0R cd90m,200,32.0,0.3253,65.1,85.13,23.11,-13.59,1.7,1.41,1.51,10,0.23,0.4205,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-7.14,5.05,-4.0,194,9,-0.0155,-0.52,-0.0736,0.0427,False,candidate
lock 2.5R->+0.25R cd0m,206,35.9,0.3037,62.6,80.51,22.06,-14.46,1.53,1.35,1.47,8,0.2112,0.3961,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-11.76,4.18,-6.5,203,10,-0.0172,-0.56,-0.0781,0.0436,False,candidate
lock 2.5R->+0.25R cd90m,201,36.3,0.3162,63.6,82.44,22.5,-12.72,1.77,1.39,1.5,9,0.2475,0.3842,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-9.83,5.92,-5.5,194,10,-0.018,-0.56,-0.0818,0.0457,False,candidate
lock 2.5R->+0.5R cd0m,206,36.4,0.3231,66.6,87.86,23.72,-13.6,1.74,1.44,1.51,8,0.2427,0.4034,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-4.41,5.04,-2.5,202,11,-0.0173,-0.52,-0.0824,0.0477,False,candidate
lock 2.5R->+0.5R cd90m,202,36.6,0.3295,66.6,87.98,23.75,-11.85,2.0,1.45,1.52,9,0.2673,0.3916,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-4.29,6.79,-2.5,193,11,-0.0181,-0.52,-0.0862,0.0499,False,candidate
lock 2.5R->+0.75R cd0m,206,36.4,0.3255,67.1,88.85,23.94,-12.74,1.88,1.46,1.51,8,0.2621,0.3889,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-3.42,5.9,-2.0,202,12,-0.0149,-0.43,-0.0827,0.053,False,candidate
lock 2.5R->+0.75R cd90m,202,36.6,0.3319,67.1,88.96,23.96,-11.14,2.15,1.47,1.52,9,0.2871,0.3768,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-3.31,7.5,-2.0,193,12,-0.0155,-0.43,-0.0866,0.0555,False,candidate
lock 2.5R->+1.0R cd0m,206,36.4,0.3206,66.1,87.07,23.54,-11.87,1.98,1.44,1.5,8,0.2621,0.3792,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-5.2,6.77,-3.0,202,14,-0.0198,-0.53,-0.0925,0.0529,False,candidate
lock 2.5R->+1.0R cd90m,202,36.6,0.327,66.1,87.18,23.57,-10.7,2.2,1.45,1.52,9,0.2871,0.3669,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-5.09,7.94,-3.0,193,14,-0.0207,-0.53,-0.0969,0.0554,False,candidate
lock 2.5R->+1.5R cd0m,207,36.2,0.3191,66.1,87.15,23.56,-12.06,1.95,1.45,1.5,8,0.2913,0.3467,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-5.12,6.58,-3.0,202,18,-0.0149,-0.37,-0.0929,0.0632,False,candidate
lock 2.5R->+1.5R cd90m,203,36.5,0.3254,66.1,87.26,23.59,-11.12,2.12,1.46,1.51,9,0.3168,0.3339,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-5.01,7.52,-3.0,193,18,-0.0155,-0.37,-0.0973,0.0662,False,candidate
BE 0.25R->-0.3R,241,19.1,0.1266,30.5,32.39,9.94,-20.05,0.5,0.79,1.28,32,0.0633,0.1893,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-59.88,-1.41,-38.6,194,104,-0.223,-2.33,-0.4106,-0.0353,True,candidate
BE 0.25R->-0.2R,245,16.7,0.1135,27.8,29.2,9.03,-19.24,0.47,0.77,1.29,32,0.0689,0.1577,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-63.07,-0.6,-41.3,193,110,-0.2697,-2.62,-0.4715,-0.0679,True,candidate
BE 0.25R->-0.1R,253,14.6,0.0901,22.8,23.11,7.27,-18.64,0.39,0.66,1.26,33,0.0508,0.1291,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-69.16,0.0,-46.3,193,113,-0.2816,-2.65,-0.4902,-0.073,True,candidate
