symbol,timeframe,di_threshold,rr,di_persist,spread,period,di_slope,adx_rising,adx_min,atr_ratio,avoid_hours,filters,trades,win_rate,roi,sharpe,max_dd
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,25.0,1.2,"[7, 8, 21, 22, 23]","di_slope, adx_rising, adx_min=25, atr_ratio=1.2, avoid=[7, 8, 21, 22, 23]",44,31.8,11.89,2.23,-7.89
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,25.0,1.2,"[7, 8, 20, 21, 22, 23]","di_slope, adx_rising, adx_min=25, atr_ratio=1.2, avoid=[7, 8, 20, 21, 22, 23]",44,31.8,11.89,2.23,-7.89
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,0.0,1.0,[7],"atr_ratio=1.0, avoid=[7]",87,32.2,26.45,2.22,-10.68
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,25.0,1.0,"[7, 8, 20, 21, 22, 23]","adx_min=25, atr_ratio=1.0, avoid=[7, 8, 20, 21, 22, 23]",80,32.5,25.33,2.21,-11.62
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,25.0,0.0,[7],"adx_rising, adx_min=25, avoid=[7]",102,32.4,32.57,2.21,-14.2
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,15.0,1.0,"[21, 22, 23]","di_slope, adx_min=15, atr_ratio=1.0, avoid=[21, 22, 23]",75,32.0,21.76,2.21,-8.81
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,15.0,1.0,"[20, 21, 22, 23]","di_slope, adx_min=15, atr_ratio=1.0, avoid=[20, 21, 22, 23]",75,32.0,21.76,2.21,-8.81
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,15.0,0.0,[7],"adx_min=15, avoid=[7]",105,32.4,33.83,2.2,-11.68
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,15.0,1.0,"[7, 8]","adx_min=15, atr_ratio=1.0, avoid=[7, 8]",84,32.1,25.26,2.2,-11.57
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,25.0,0.0,"[7, 8]","adx_min=25, avoid=[7, 8]",95,32.6,31.4,2.2,-10.73
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,25.0,0.0,"[7, 8, 21, 22, 23]","adx_min=25, avoid=[7, 8, 21, 22, 23]",95,32.6,31.4,2.2,-10.73
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,20.0,0.0,"[20, 21, 22, 23]","adx_rising, adx_min=20, avoid=[20, 21, 22, 23]",120,32.5,40.31,2.2,-16.65
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,0.0,1.2,"[7, 8, 21, 22, 23]","adx_rising, atr_ratio=1.2, avoid=[7, 8, 21, 22, 23]",63,31.7,17.24,2.18,-9.72
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,15.0,0.0,,"adx_rising, adx_min=15",102,32.4,32.57,2.18,-10.52
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,15.0,1.0,"[7, 8, 20, 21, 22, 23]","adx_rising, adx_min=15, atr_ratio=1.0, avoid=[7, 8, 20, 21, 22, 23]",81,32.1,24.08,2.18,-9.72
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,15.0,1.2,"[7, 8, 21, 22, 23]","adx_rising, adx_min=15, atr_ratio=1.2, avoid=[7, 8, 21, 22, 23]",63,31.7,17.24,2.18,-9.72
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,0.0,0.0,"[7, 8, 20, 21, 22, 23]","di_slope, avoid=[7, 8, 20, 21, 22, 23]",88,31.8,25.19,2.18,-9.56
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,0.0,"[20, 21, 22, 23]","di_slope, adx_min=25, avoid=[20, 21, 22, 23]",78,32.1,22.91,2.18,-7.89
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,15.0,1.0,,"adx_min=15, atr_ratio=1.0",87,32.2,26.45,2.17,-10.68
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,20.0,1.0,"[7, 21, 22, 23]","adx_min=20, atr_ratio=1.0, avoid=[7, 21, 22, 23]",90,32.2,27.65,2.17,-13.38
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,20.0,1.0,"[21, 22, 23]","di_slope, adx_rising, adx_min=20, atr_ratio=1.0, avoid=[21, 22, 23]",78,32.1,22.91,2.17,-9.88
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,20.0,1.0,"[20, 21, 22, 23]","di_slope, adx_rising, adx_min=20, atr_ratio=1.0, avoid=[20, 21, 22, 23]",78,32.1,22.91,2.17,-9.88
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,20.0,1.2,,"di_slope, adx_rising, adx_min=20, atr_ratio=1.2",54,31.5,13.96,2.17,-9.88
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,20.0,1.2,[7],"di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[7]",54,31.5,13.96,2.17,-9.88
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,20.0,1.2,"[21, 22, 23]","di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[21, 22, 23]",54,31.5,13.96,2.17,-9.88
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,20.0,1.2,"[7, 21, 22, 23]","di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[7, 21, 22, 23]",54,31.5,13.96,2.17,-9.88
