symbol,timeframe,di_threshold,rr,di_persist,spread,period,trades,wins,win_rate,roi,sharpe,max_dd
GBP_JPY,5m,35.0,4.5,2,0.018,2026-01-22 → 2026-02-27,34,5,14.7,-6.89,-1.66,-13.67
GBP_JPY,5m,35.0,5.0,1,0.018,2026-01-22 → 2026-02-27,37,4,10.8,-12.76,-3.04,-14.98
GBP_JPY,5m,35.0,5.0,2,0.018,2026-01-22 → 2026-02-27,26,4,15.4,-2.56,-0.69,-15.71
GBP_JPY,15m,25.0,1.5,1,0.018,2025-12-03 → 2026-02-27,209,93,44.5,24.46,1.38,-16.83
GBP_JPY,15m,25.0,1.5,2,0.018,2025-12-03 → 2026-02-27,189,89,47.1,37.72,2.21,-15.74
GBP_JPY,15m,25.0,2.0,1,0.018,2025-12-03 → 2026-02-27,163,61,37.4,20.06,1.23,-19.2
GBP_JPY,15m,25.0,2.0,2,0.018,2025-12-03 → 2026-02-27,164,65,39.6,33.94,1.96,-14.05
GBP_JPY,15m,25.0,2.5,1,0.018,2025-12-03 → 2026-02-27,132,45,34.1,26.72,1.78,-16.38
GBP_JPY,15m,25.0,2.5,2,0.018,2025-12-03 → 2026-02-27,134,42,31.3,11.9,0.82,-15.39
GBP_JPY,15m,25.0,3.0,1,0.018,2025-12-03 → 2026-02-27,91,27,29.7,16.75,1.56,-15.86
GBP_JPY,15m,25.0,3.0,2,0.018,2025-12-03 → 2026-02-27,116,34,29.3,19.83,1.37,-13.99
GBP_JPY,15m,25.0,3.5,1,0.018,2025-12-03 → 2026-02-27,78,21,26.9,16.13,1.59,-15.35
GBP_JPY,15m,25.0,3.5,2,0.018,2025-12-03 → 2026-02-27,83,26,31.3,37.93,2.83,-12.76
GBP_JPY,15m,25.0,4.0,1,0.018,2025-12-03 → 2026-02-27,57,14,24.6,12.4,1.55,-10.55
GBP_JPY,15m,25.0,4.0,2,0.018,2025-12-03 → 2026-02-27,54,16,29.6,27.84,3.15,-10.47
GBP_JPY,15m,25.0,4.5,1,0.018,2025-12-03 → 2026-02-27,69,15,21.7,12.47,1.17,-9.22
GBP_JPY,15m,25.0,4.5,2,0.018,2025-12-03 → 2026-02-27,39,11,28.2,22.48,3.2,-11.02
GBP_JPY,15m,25.0,5.0,1,0.018,2025-12-03 → 2026-02-27,51,14,27.5,36.51,3.52,-10.6
GBP_JPY,15m,25.0,5.0,2,0.018,2025-12-03 → 2026-02-27,41,11,26.8,26.51,3.31,-13.99
GBP_JPY,15m,30.0,1.5,1,0.018,2025-12-03 → 2026-02-27,124,54,43.5,10.57,1.04,-9.63
GBP_JPY,15m,30.0,1.5,2,0.018,2025-12-03 → 2026-02-27,118,53,44.9,14.55,1.41,-9.63
