pair,wknd_n,wknd_avgR,wknd_sumR,other_n,other_avgR,gap_stopped,worst_wknd_R
XAU_USD,10,1.6553354828803943,16.553354828803943,48,0.875,1,-1.4466451711960568
XAG_USD,6,5.480182690819013,32.881096144914075,42,-0.6904761904761905,1,-1.1189038550859272
BCO_USD,28,1.2879946690376038,36.06385073305291,147,0.02040816326530612,5,-2.1611374407582704
JP225_USD,4,0.875,3.5,99,0.16161616161616163,0,-1.0
NAS100_USD,15,0.9159289348385936,13.738934022578905,32,0.40625,2,-2.5465838509316607
UK100_GBP,8,2.375,19.0,29,0.39655172413793105,0,-1.0
EUR_USD,20,1.7529220779220789,35.05844155844158,91,-0.07692307692307693,1,-1.9415584415584186
USD_JPY,19,-0.15789473684210525,-3.0,165,0.21212121212121213,0,-1.0
