rr,di,persist,adx_min,adx_rising,atr_ratio,di_slope,avoid_hours,trades,wins,win_rate,roi,sharpe,max_dd,avg_r
1.5,35,2,25,False,1.5,False,plus20,12,9,75.0,10.94,12.06,-1.99,0.912
1.5,35,2,25,False,1.5,False,plus9,12,9,75.0,10.94,12.06,-1.99,0.912
1.5,35,2,25,False,1.5,False,none,12,9,75.0,10.94,12.06,-1.99,0.912
1.5,35,2,25,False,1.5,False,long_london,12,9,75.0,10.94,12.06,-1.99,0.912
3.0,35,2,30,True,1.2,True,plus20,16,10,62.5,26.53,11.84,-1.99,1.658
3.0,35,2,30,False,1.2,True,plus20,16,10,62.5,26.53,11.84,-1.99,1.658
3.5,35,3,25,False,1.2,True,plus20,15,9,60.0,28.31,11.75,-1.0,1.888
3.5,35,3,25,True,1.2,True,plus20,15,9,60.0,28.31,11.75,-1.0,1.888
3.0,35,3,0,True,1.2,True,plus20,16,10,62.5,26.53,11.74,-1.99,1.658
3.0,35,3,0,False,1.2,True,plus20,16,10,62.5,26.53,11.74,-1.99,1.658
3.0,35,3,20,True,1.2,True,plus20,16,10,62.5,26.53,11.74,-1.99,1.658
3.0,35,3,20,False,1.2,True,plus20,16,10,62.5,26.53,11.74,-1.99,1.658
3.5,35,3,25,True,1.2,True,deep_prelondon,15,9,60.0,28.31,11.59,-1.0,1.888
3.5,35,3,25,False,1.2,True,deep_prelondon,15,9,60.0,28.31,11.59,-1.0,1.888
4.0,35,3,25,False,1.2,True,eu_open,12,7,58.3,25.14,11.54,-1.99,2.095
4.0,35,3,25,True,1.2,True,eu_open,12,7,58.3,25.14,11.54,-1.99,2.095
1.5,30,2,25,False,1.5,False,none,15,11,73.3,13.15,11.45,-1.99,0.877
1.5,30,2,25,False,1.5,False,plus9,15,11,73.3,13.15,11.45,-1.99,0.877
1.5,30,2,25,False,1.5,False,deep_prelondon,15,11,73.3,13.15,11.45,-1.99,0.877
1.5,30,2,25,False,1.5,False,plus6,15,11,73.3,13.15,11.45,-1.99,0.877
1.5,30,2,25,False,1.5,False,long_london,15,11,73.3,13.15,11.45,-1.99,0.877
1.5,30,2,25,False,1.5,False,current,15,11,73.3,13.15,11.45,-1.99,0.877
1.5,30,2,25,False,1.5,False,plus20,15,11,73.3,13.15,11.45,-1.99,0.877
4.0,35,3,25,False,1.2,True,plus20,14,8,57.1,28.85,11.3,-1.99,2.061
4.0,35,3,25,True,1.2,True,plus20,14,8,57.1,28.85,11.3,-1.99,2.061
3.5,35,2,30,False,1.2,True,deep_prelondon,17,10,58.8,31.48,11.18,-1.99,1.852
2.5,35,3,30,False,1.2,True,plus20,14,9,64.3,18.77,11.18,-1.99,1.34
2.5,35,3,30,True,1.2,True,plus20,14,9,64.3,18.77,11.18,-1.99,1.34
3.5,35,2,30,True,1.2,True,deep_prelondon,17,10,58.8,31.48,11.18,-1.99,1.852
4.0,35,3,25,False,1.2,True,deep_prelondon,14,8,57.1,28.85,11.16,-1.99,2.061
4.0,35,3,25,True,1.2,True,deep_prelondon,14,8,57.1,28.85,11.16,-1.99,2.061
4.0,35,2,30,True,1.2,True,plus9,16,9,56.2,32.66,10.94,-1.99,2.041
4.0,35,2,30,True,1.2,True,current,16,9,56.2,32.66,10.94,-1.99,2.041
4.0,35,2,30,False,1.2,True,plus6,16,9,56.2,32.66,10.94,-1.99,2.041
4.0,35,2,30,True,1.2,True,long_london,16,9,56.2,32.66,10.94,-1.99,2.041
4.0,35,2,30,True,1.2,True,plus6,16,9,56.2,32.66,10.94,-1.99,2.041
4.0,35,2,30,False,1.2,True,plus9,16,9,56.2,32.66,10.94,-1.99,2.041
4.0,35,2,30,False,1.2,True,current,16,9,56.2,32.66,10.94,-1.99,2.041
4.0,35,2,30,False,1.2,True,long_london,16,9,56.2,32.66,10.94,-1.99,2.041
3.0,35,3,25,True,1.2,True,plus20,15,9,60.0,22.84,10.9,-1.0,1.523
3.0,35,3,25,False,1.2,True,plus20,15,9,60.0,22.84,10.9,-1.0,1.523
3.5,35,3,30,False,1.2,True,eu_open,12,7,58.3,20.99,10.86,-1.99,1.749
3.5,35,3,30,True,1.2,True,eu_open,12,7,58.3,20.99,10.86,-1.99,1.749
3.0,35,3,25,False,1.2,True,deep_prelondon,15,9,60.0,22.84,10.75,-1.0,1.523
3.0,35,3,25,True,1.2,True,deep_prelondon,15,9,60.0,22.84,10.75,-1.0,1.523
2.0,35,3,30,False,1.2,True,plus20,15,10,66.7,15.93,10.68,-1.99,1.062
2.0,35,3,30,True,1.2,True,plus20,15,10,66.7,15.93,10.68,-1.99,1.062
2.0,35,3,30,True,1.2,True,eu_open,12,8,66.7,12.55,10.58,-1.0,1.046
2.0,35,3,30,False,1.2,True,eu_open,12,8,66.7,12.55,10.58,-1.0,1.046
3.5,35,3,0,False,1.2,True,plus20,16,9,56.2,27.03,10.44,-1.99,1.689
3.5,35,3,20,True,1.2,True,plus20,16,9,56.2,27.03,10.44,-1.99,1.689
1.5,35,3,25,False,1.2,True,eu_open,14,10,71.4,11.48,10.44,-1.0,0.82
3.5,35,3,0,True,1.2,True,plus20,16,9,56.2,27.03,10.44,-1.99,1.689
1.5,35,3,25,True,1.2,True,eu_open,14,10,71.4,11.48,10.44,-1.0,0.82
3.5,35,3,20,False,1.2,True,plus20,16,9,56.2,27.03,10.44,-1.99,1.689
3.0,35,2,30,True,1.2,True,current,17,10,58.8,25.26,10.41,-1.99,1.486
3.0,35,2,30,False,1.2,True,plus6,17,10,58.8,25.26,10.41,-1.99,1.486
3.0,35,2,30,False,1.2,True,long_london,17,10,58.8,25.26,10.41,-1.99,1.486
3.0,35,2,30,False,1.2,True,plus9,17,10,58.8,25.26,10.41,-1.99,1.486
3.0,35,2,30,True,1.2,True,long_london,17,10,58.8,25.26,10.41,-1.99,1.486
3.0,35,2,30,True,1.2,True,plus6,17,10,58.8,25.26,10.41,-1.99,1.486
3.0,35,2,30,True,1.2,True,plus9,17,10,58.8,25.26,10.41,-1.99,1.486
3.0,35,2,30,False,1.2,True,current,17,10,58.8,25.26,10.41,-1.99,1.486
3.5,35,3,25,False,1.2,True,long_london,16,9,56.2,27.03,10.36,-1.0,1.689
3.5,35,3,25,False,1.2,True,plus6,16,9,56.2,27.03,10.36,-1.0,1.689
3.5,35,3,25,True,1.2,True,none,16,9,56.2,27.03,10.36,-1.0,1.689
3.5,35,3,25,True,1.2,True,current,16,9,56.2,27.03,10.36,-1.0,1.689
3.5,35,3,25,True,1.2,True,long_london,16,9,56.2,27.03,10.36,-1.0,1.689
3.5,35,3,25,False,1.2,True,none,16,9,56.2,27.03,10.36,-1.0,1.689
