di_threshold,di_persist,adx_min,adx_rising,atr_ratio_min,di_slope,di_spread_min,body_ratio_min,avoid,sma_ordered,rsi_filter,target_rr,fit_trades,fit_win_rate,fit_exp_R,fit_total_R,fit_roi_pct,fit_cagr_pct,fit_max_dd_pct,fit_cagr_dd,fit_sharpe_daily,fit_pf,fit_streak,fit_h1_R,fit_h2_R,fit_worst_R,oos_trades,oos_win_rate,oos_exp_R,oos_total_R,oos_roi_pct,oos_cagr_pct,oos_max_dd_pct,oos_cagr_dd,oos_sharpe_daily,oos_pf,oos_streak,oos_h1_R,oos_h2_R,oos_worst_R,all_trades,all_win_rate,all_exp_R,all_total_R,all_roi_pct,all_cagr_pct,all_max_dd_pct,all_cagr_dd,all_sharpe_daily,all_pf,all_streak,all_h1_R,all_h2_R,all_worst_R
30.0,1,20.0,False,1.2,False,20.0,0.0,none,False,False,2.5,324,26.5,-0.0716,-23.2,-23.7,-11.18,-38.42,-0.29,-0.57,0.9,15,-0.1802,0.037,-1.11,111,27.9,-0.0275,-3.1,-4.32,-6.28,-14.44,-0.43,-0.21,0.96,13,-0.1798,0.122,-1.39,435,26.9,-0.0604,-26.3,-26.99,-10.08,-38.42,-0.26,-0.48,0.92,15,-0.1622,0.041,-1.39
30.0,1,20.0,False,1.2,False,20.0,0.0,none,False,False,3.0,284,21.8,-0.1267,-36.0,-32.86,-16.03,-41.04,-0.39,-0.88,0.84,17,-0.1282,-0.1251,-1.11,108,26.9,0.0689,7.4,5.93,8.81,-12.45,0.71,0.48,1.09,13,-0.1183,0.2561,-1.39,392,23.2,-0.0728,-28.5,-28.88,-10.87,-41.04,-0.26,-0.51,0.91,17,-0.1847,0.0391,-1.39
30.0,1,20.0,False,1.2,False,20.0,0.0,none,False,False,3.5,242,18.6,-0.1641,-39.7,-35.2,-17.32,-43.09,-0.4,-0.95,0.8,16,-0.1463,-0.1818,-1.11,89,28.1,0.256,22.8,23.32,35.99,-12.25,2.94,1.36,1.35,13,0.1088,0.4,-1.39,331,21.1,-0.0511,-16.9,-20.09,-7.29,-43.09,-0.17,-0.28,0.94,16,-0.2376,0.1343,-1.39
30.0,1,20.0,False,1.2,False,20.0,0.0,none,False,True,2.5,357,26.9,-0.0594,-21.2,-22.48,-10.57,-33.09,-0.32,-0.49,0.92,16,-0.0376,-0.081,-1.11,119,28.6,-0.0075,-0.9,-2.35,-3.43,-14.22,-0.24,-0.06,0.99,13,-0.1254,0.1083,-1.9,476,27.3,-0.0464,-22.1,-24.31,-8.97,-33.09,-0.27,-0.38,0.94,16,-0.1038,0.0109,-1.9
30.0,1,20.0,False,1.2,False,20.0,0.0,none,False,True,3.0,332,24.4,-0.024,-8.0,-12.03,-5.46,-29.21,-0.19,-0.18,0.97,16,0.059,-0.1071,-1.11,119,26.9,0.0681,8.1,6.44,9.59,-15.95,0.6,0.49,1.09,13,0.0018,0.1333,-1.9,451,25.1,0.0003,0.1,-6.36,-2.2,-29.21,-0.08,-0.0,1.0,16,-0.0053,0.0059,-1.9
30.0,1,20.0,False,1.2,False,20.0,0.0,none,False,True,3.5,301,21.9,-0.0142,-4.3,-8.99,-4.05,-27.5,-0.15,-0.09,0.98,16,-0.0119,-0.0166,-1.11,104,26.0,0.1597,16.6,15.7,23.86,-12.38,1.93,0.93,1.21,13,0.1078,0.2115,-1.9,405,23.0,0.0304,12.3,5.3,1.76,-27.5,0.06,0.18,1.04,16,-0.0435,0.104,-1.9
30.0,1,20.0,False,1.2,False,20.0,0.0,none,True,False,2.5,258,31.4,0.0984,25.4,24.62,10.13,-15.0,0.68,0.64,1.14,10,0.1115,0.0853,-1.11,90,32.2,0.1216,10.9,10.23,15.35,-13.42,1.14,0.82,1.18,12,-0.0791,0.3222,-1.39,348,31.6,0.1044,36.3,37.36,11.31,-15.0,0.75,0.69,1.15,12,0.0654,0.1433,-1.39
30.0,1,20.0,False,1.2,False,20.0,0.0,none,True,False,3.0,229,27.1,0.084,19.2,16.94,7.1,-22.32,0.32,0.48,1.12,11,0.1579,0.0107,-1.0,82,28.0,0.1152,9.4,8.46,12.66,-13.43,0.94,0.69,1.16,12,-0.038,0.2683,-1.39,311,27.3,0.0922,28.7,26.83,8.35,-22.32,0.37,0.53,1.13,12,0.0323,0.1517,-1.39
30.0,1,20.0,False,1.2,False,20.0,0.0,none,True,False,3.5,214,23.8,0.0719,15.4,12.2,5.18,-20.02,0.26,0.36,1.09,10,0.1345,0.0093,-1.11,81,24.7,0.1042,8.4,7.18,10.7,-15.13,0.71,0.59,1.14,12,-0.1139,0.3171,-1.39,295,24.1,0.0808,23.8,20.26,6.42,-20.02,0.32,0.42,1.11,12,0.0401,0.1212,-1.39
30.0,1,20.0,False,1.2,False,20.0,0.0,none,True,True,2.5,264,28.4,-0.0061,-1.6,-4.75,-2.11,-26.9,-0.08,-0.04,0.99,13,0.0863,-0.0985,-1.11,89,31.5,0.0911,8.1,7.17,10.69,-11.03,0.97,0.6,1.13,10,0.0933,0.0889,-1.9,353,29.2,0.0184,6.5,2.07,0.7,-26.9,0.03,0.12,1.03,13,0.0732,-0.0361,-1.9
