symbol,tf,rr,be_trigger,be_level,lock,trades,win_rate,roi,sharpe,max_dd,avg_r,pct_tp,pct_lock,pct_be,pct_fullloss,giveback_3R,d_sharpe,d_roi,base_sharpe,base_roi
XAG_USD,5m,12.0,0.25,-0.1,3.0->2.0,104,13.5,36.88,2.35,-5.14,0.324,2.9,10.6,70.2,16.3,0,-0.19,-3.21,2.54,40.09
XAG_USD,5m,12.0,0.25,0.0,3.0->2.0,115,12.2,42.88,2.56,-4.9,0.33,2.6,9.6,70.4,17.4,0,0.02,2.79,2.54,40.09
XAG_USD,5m,12.0,0.5,-0.3,3.0->2.0,87,21.8,44.76,2.57,-6.77,0.461,4.6,17.2,49.4,28.7,0,0.03,4.67,2.54,40.09
XAG_USD,5m,12.0,0.5,-0.2,3.0->2.0,85,20.0,45.27,2.65,-6.84,0.475,4.7,15.3,50.6,29.4,0,0.11,5.18,2.54,40.09
XAG_USD,5m,12.0,0.5,-0.1,3.0->2.0,87,18.4,35.0,2.39,-6.04,0.372,3.4,14.9,52.9,28.7,0,-0.15,-5.09,2.54,40.09
XAG_USD,5m,12.0,0.5,0.0,3.0->2.0,98,16.3,35.79,2.28,-6.85,0.337,3.1,13.3,54.1,29.6,0,-0.26,-4.3,2.54,40.09
XAG_USD,5m,12.0,0.75,-0.3,3.0->2.0,83,24.1,45.72,2.69,-8.07,0.492,4.8,19.3,41.0,34.9,0,0.15,5.63,2.54,40.09
XAG_USD,5m,12.0,0.75,-0.2,3.0->2.0,84,21.4,44.05,2.61,-9.06,0.471,4.8,16.7,44.0,34.5,0,0.07,3.96,2.54,40.09
XAG_USD,5m,12.0,0.75,-0.1,3.0->2.0,86,19.8,33.08,2.27,-7.96,0.36,3.5,16.3,46.5,33.7,0,-0.27,-7.01,2.54,40.09
XAG_USD,5m,12.0,0.75,0.0,3.0->2.0,99,17.2,31.72,2.01,-9.62,0.303,3.0,14.1,48.5,34.3,0,-0.53,-8.37,2.54,40.09
XAG_USD,5m,12.0,1.0,-0.3,3.0->2.0,79,24.1,36.26,2.27,-10.0,0.432,5.1,19.0,29.1,46.8,0,-0.27,-3.83,2.54,40.09
XAG_USD,5m,12.0,1.0,-0.2,3.0->2.0,79,22.8,36.43,2.29,-11.23,0.433,5.1,17.7,30.4,46.8,0,-0.25,-3.66,2.54,40.09
XAG_USD,5m,12.0,1.0,-0.1,3.0->2.0,83,21.7,24.49,1.73,-10.43,0.294,3.6,18.1,31.3,47.0,0,-0.81,-15.6,2.54,40.09
XAG_USD,5m,12.0,1.0,0.0,3.0->2.0,88,20.5,25.23,1.73,-9.62,0.284,3.4,17.0,33.0,46.6,0,-0.81,-14.86,2.54,40.09
XAG_USD,5m,12.0,1.5,-0.3,3.0->2.0,80,23.8,26.61,1.72,-11.35,0.335,5.0,18.8,17.5,58.8,0,-0.82,-13.48,2.54,40.09
XAG_USD,5m,12.0,1.5,-0.2,3.0->2.0,80,22.5,25.63,1.67,-12.48,0.325,5.0,17.5,18.8,58.8,0,-0.87,-14.46,2.54,40.09
XAG_USD,5m,12.0,1.5,-0.1,3.0->2.0,82,22.0,26.13,1.68,-11.94,0.322,4.9,17.1,19.5,58.5,0,-0.86,-13.96,2.54,40.09
XAG_USD,5m,12.0,1.5,0.0,3.0->2.0,83,21.7,26.88,1.72,-11.6,0.325,4.8,16.9,19.3,59.0,0,-0.82,-13.21,2.54,40.09
JP225_USD,5m,1.5,0.25,-0.3,none,111,37.8,36.66,4.47,-2.87,0.286,37.8,0.0,84.7,15.3,0,1.94,13.07,2.53,23.59
JP225_USD,5m,1.5,0.25,-0.2,none,112,35.7,39.19,4.91,-2.58,0.3,35.7,0.0,84.8,15.2,0,2.38,15.6,2.53,23.59
JP225_USD,5m,1.5,0.25,-0.1,none,114,34.2,44.75,5.63,-2.28,0.329,34.2,0.0,85.1,14.9,0,3.1,21.16,2.53,23.59
JP225_USD,5m,1.5,0.25,0.0,none,118,25.4,33.09,4.74,-1.99,0.246,25.4,0.0,84.7,15.3,0,2.21,9.5,2.53,23.59
JP225_USD,5m,1.5,0.5,-0.3,none,108,42.6,35.16,3.95,-3.84,0.285,42.6,0.0,72.2,27.8,0,1.42,11.57,2.53,23.59
JP225_USD,5m,1.5,0.5,-0.2,none,108,39.8,32.94,3.86,-3.55,0.269,39.8,0.0,72.2,27.8,0,1.33,9.35,2.53,23.59
JP225_USD,5m,1.5,0.5,-0.1,none,109,38.5,35.65,4.18,-3.26,0.285,38.5,0.0,72.5,27.5,0,1.65,12.06,2.53,23.59
JP225_USD,5m,1.5,0.5,0.0,none,109,36.7,36.91,4.42,-2.97,0.294,36.7,0.0,72.5,27.5,0,1.89,13.32,2.53,23.59
JP225_USD,5m,1.5,0.75,-0.3,none,104,45.2,28.88,3.22,-5.19,0.251,45.2,0.0,60.6,39.4,0,0.69,5.29,2.53,23.59
JP225_USD,5m,1.5,0.75,-0.2,none,104,44.2,29.03,3.27,-5.09,0.252,44.2,0.0,60.6,39.4,0,0.74,5.44,2.53,23.59
JP225_USD,5m,1.5,0.75,-0.1,none,104,44.2,31.51,3.54,-5.0,0.27,44.2,0.0,60.6,39.4,0,1.01,7.92,2.53,23.59
JP225_USD,5m,1.5,0.75,0.0,none,104,43.3,32.05,3.64,-4.9,0.274,43.3,0.0,60.6,39.4,0,1.11,8.46,2.53,23.59
JP225_USD,5m,1.5,1.0,-0.3,none,104,45.2,25.3,2.82,-5.19,0.224,45.2,0.0,55.8,44.2,0,0.29,1.71,2.53,23.59
JP225_USD,5m,1.5,1.0,-0.2,none,104,45.2,27.07,3.02,-5.09,0.237,45.2,0.0,55.8,44.2,0,0.49,3.48,2.53,23.59
JP225_USD,5m,1.5,1.0,-0.1,none,104,45.2,28.86,3.21,-5.0,0.251,45.2,0.0,55.8,44.2,0,0.68,5.27,2.53,23.59
JP225_USD,5m,1.5,1.0,0.0,none,104,44.2,28.75,3.23,-4.9,0.25,44.2,0.0,55.8,44.2,0,0.7,5.16,2.53,23.59
JP225_USD,5m,1.5,1.5,-0.3,none,103,48.5,23.59,2.53,-6.83,0.214,48.5,0.0,0.0,100.0,0,0.0,0.0,2.53,23.59
JP225_USD,5m,1.5,1.5,-0.2,none,103,48.5,23.59,2.53,-6.83,0.214,48.5,0.0,0.0,100.0,0,0.0,0.0,2.53,23.59
JP225_USD,5m,1.5,1.5,-0.1,none,103,48.5,23.59,2.53,-6.83,0.214,48.5,0.0,0.0,100.0,0,0.0,0.0,2.53,23.59
JP225_USD,5m,1.5,1.5,0.0,none,103,48.5,23.59,2.53,-6.83,0.214,48.5,0.0,0.0,100.0,0,0.0,0.0,2.53,23.59
NAS100_USD,15m,3.5,0.25,-0.3,none,70,20.0,26.6,3.35,-4.42,0.35,20.0,0.0,84.3,15.7,0,-1.01,-6.15,4.36,32.75
NAS100_USD,15m,3.5,0.25,-0.2,none,71,15.5,18.5,2.7,-4.13,0.249,15.5,0.0,84.5,15.5,0,-1.66,-14.25,4.36,32.75
NAS100_USD,15m,3.5,0.25,-0.1,none,76,11.8,15.38,2.42,-5.27,0.196,11.8,0.0,85.5,14.5,0,-1.94,-17.37,4.36,32.75
NAS100_USD,15m,3.5,0.25,0.0,none,80,8.8,13.91,2.38,-3.94,0.169,8.8,0.0,86.2,13.8,0,-1.98,-18.84,4.36,32.75
NAS100_USD,15m,3.5,0.5,-0.3,none,64,23.4,29.18,3.63,-5.75,0.416,23.4,0.0,75.0,25.0,0,-0.73,-3.57,4.36,32.75
NAS100_USD,15m,3.5,0.5,-0.2,none,64,21.9,28.76,3.74,-5.47,0.409,21.9,0.0,75.0,25.0,0,-0.62,-3.99,4.36,32.75
NAS100_USD,15m,3.5,0.5,-0.1,none,66,19.7,28.32,3.76,-5.19,0.391,19.7,0.0,75.8,24.2,0,-0.6,-4.43,4.36,32.75
NAS100_USD,15m,3.5,0.5,0.0,none,71,15.5,23.07,3.23,-4.9,0.303,15.5,0.0,76.1,23.9,0,-1.13,-9.68,4.36,32.75
NAS100_USD,15m,3.5,0.75,-0.3,none,64,23.4,24.71,3.08,-6.42,0.361,23.4,0.0,67.2,32.8,0,-1.28,-8.04,4.36,32.75
NAS100_USD,15m,3.5,0.75,-0.2,none,64,21.9,23.68,3.09,-6.23,0.347,21.9,0.0,67.2,32.8,0,-1.27,-9.07,4.36,32.75
NAS100_USD,15m,3.5,0.75,-0.1,none,65,21.5,27.19,3.47,-6.04,0.385,21.5,0.0,67.7,32.3,0,-0.89,-5.56,4.36,32.75
NAS100_USD,15m,3.5,0.75,0.0,none,66,21.2,31.07,3.88,-5.85,0.424,21.2,0.0,68.2,31.8,0,-0.48,-1.68,4.36,32.75
NAS100_USD,15m,3.5,1.0,-0.3,none,60,26.7,30.11,3.66,-6.42,0.457,26.7,0.0,63.3,36.7,0,-0.7,-2.64,4.36,32.75
NAS100_USD,15m,3.5,1.0,-0.2,none,60,26.7,33.01,3.99,-6.23,0.493,26.7,0.0,63.3,36.7,0,-0.37,0.26,4.36,32.75
NAS100_USD,15m,3.5,1.0,-0.1,none,60,26.7,35.98,4.32,-6.04,0.53,26.7,0.0,63.3,36.7,0,-0.04,3.23,4.36,32.75
NAS100_USD,15m,3.5,1.0,0.0,none,60,26.7,39.0,4.65,-5.85,0.567,26.7,0.0,63.3,36.7,0,0.29,6.25,4.36,32.75
NAS100_USD,15m,3.5,1.5,-0.3,none,58,31.0,36.18,4.16,-7.63,0.553,31.0,0.0,53.4,46.6,0,-0.2,3.43,4.36,32.75
NAS100_USD,15m,3.5,1.5,-0.2,none,58,31.0,37.97,4.35,-7.35,0.576,31.0,0.0,53.4,46.6,0,-0.01,5.22,4.36,32.75
NAS100_USD,15m,3.5,1.5,-0.1,none,58,31.0,39.77,4.54,-7.07,0.598,31.0,0.0,53.4,46.6,0,0.18,7.02,4.36,32.75
NAS100_USD,15m,3.5,1.5,0.0,none,59,30.5,40.19,4.55,-6.79,0.593,30.5,0.0,52.5,47.5,0,0.19,7.44,4.36,32.75
UK100_GBP,15m,3.5,0.25,-0.3,none,86,15.1,6.06,0.7,-9.98,0.079,15.1,0.0,70.9,29.1,1,-4.8,-28.24,5.5,34.3
UK100_GBP,15m,3.5,0.25,-0.2,none,90,10.0,-4.47,-0.62,-15.09,-0.043,10.0,0.0,72.2,27.8,4,-6.12,-38.77,5.5,34.3
UK100_GBP,15m,3.5,0.25,-0.1,none,95,9.5,0.64,0.09,-10.79,0.014,9.5,0.0,73.7,26.3,3,-5.41,-33.66,5.5,34.3
UK100_GBP,15m,3.5,0.25,0.0,none,98,8.2,0.39,0.05,-8.93,0.01,8.2,0.0,71.4,28.6,2,-5.45,-33.91,5.5,34.3
UK100_GBP,15m,3.5,0.5,-0.3,none,46,26.1,20.18,3.36,-5.47,0.417,26.1,0.0,58.7,41.3,1,-2.14,-14.12,5.5,34.3
UK100_GBP,15m,3.5,0.5,-0.2,none,82,12.2,-3.3,-0.47,-12.92,-0.032,12.2,0.0,63.4,36.6,5,-5.97,-37.6,5.5,34.3
UK100_GBP,15m,3.5,0.5,-0.1,none,84,11.9,-0.15,-0.02,-12.49,0.007,11.9,0.0,63.1,36.9,5,-5.52,-34.45,5.5,34.3
UK100_GBP,15m,3.5,0.5,0.0,none,84,10.7,1.83,0.27,-10.98,0.03,10.7,0.0,64.3,35.7,5,-5.23,-32.47,5.5,34.3
UK100_GBP,15m,3.5,0.75,-0.3,none,46,26.1,18.5,3.05,-6.79,0.387,26.1,0.0,54.3,45.7,1,-2.45,-15.8,5.5,34.3
UK100_GBP,15m,3.5,0.75,-0.2,none,77,14.3,-3.48,-0.47,-12.92,-0.035,14.3,0.0,53.2,46.8,5,-5.97,-37.78,5.5,34.3
UK100_GBP,15m,3.5,0.75,-0.1,none,79,13.9,-1.53,-0.2,-12.49,-0.009,13.9,0.0,53.2,46.8,5,-5.7,-35.83,5.5,34.3
UK100_GBP,15m,3.5,0.75,0.0,none,81,11.1,-6.97,-1.02,-12.28,-0.08,11.1,0.0,51.9,48.1,5,-6.52,-41.27,5.5,34.3
UK100_GBP,15m,3.5,1.0,-0.3,none,42,28.6,23.36,4.01,-6.79,0.519,28.6,0.0,59.5,40.5,1,-1.49,-10.94,5.5,34.3
UK100_GBP,15m,3.5,1.0,-0.2,none,48,16.7,3.48,0.7,-9.55,0.083,16.7,0.0,56.2,43.8,2,-4.8,-30.82,5.5,34.3
UK100_GBP,15m,3.5,1.0,-0.1,none,50,16.0,4.41,0.86,-8.9,0.098,16.0,0.0,56.0,44.0,2,-4.64,-29.89,5.5,34.3
UK100_GBP,15m,3.5,1.0,0.0,none,51,13.7,1.99,0.41,-8.26,0.049,13.7,0.0,54.9,45.1,2,-5.09,-32.31,5.5,34.3
UK100_GBP,15m,3.5,1.5,-0.3,none,42,28.6,22.5,3.86,-6.79,0.502,28.6,0.0,57.1,42.9,1,-1.64,-11.8,5.5,34.3
UK100_GBP,15m,3.5,1.5,-0.2,none,43,20.9,10.15,2.01,-6.79,0.24,20.9,0.0,55.8,44.2,2,-3.49,-24.15,5.5,34.3
UK100_GBP,15m,3.5,1.5,-0.1,none,45,20.0,9.7,1.88,-6.79,0.22,20.0,0.0,53.3,46.7,2,-3.62,-24.6,5.5,34.3
UK100_GBP,15m,3.5,1.5,0.0,none,45,20.0,11.47,2.2,-6.79,0.256,20.0,0.0,53.3,46.7,2,-3.3,-22.83,5.5,34.3
EUR_USD,15m,6.0,0.25,-0.3,none,280,8.2,12.42,0.33,-29.47,0.058,8.2,0.0,77.1,22.9,18,0.07,6.89,0.26,5.53
EUR_USD,15m,6.0,0.25,-0.2,none,415,7.7,50.03,0.88,-19.0,0.112,7.7,0.0,79.3,20.7,22,0.62,44.5,0.26,5.53
EUR_USD,15m,6.0,0.25,-0.1,none,464,6.7,61.15,0.99,-13.53,0.116,6.7,0.0,78.7,21.3,26,0.73,55.62,0.26,5.53
EUR_USD,15m,6.0,0.25,0.0,none,524,5.0,55.21,0.96,-15.71,0.094,5.0,0.0,79.6,20.4,24,0.7,49.68,0.26,5.53
EUR_USD,15m,6.0,0.5,-0.3,none,202,8.4,-7.65,-0.32,-32.25,-0.023,8.4,0.0,63.9,36.1,19,-0.58,-13.18,0.26,5.53
EUR_USD,15m,6.0,0.5,-0.2,none,257,7.4,-9.68,-0.35,-31.57,-0.025,7.4,0.0,64.6,35.4,22,-0.61,-15.21,0.26,5.53
EUR_USD,15m,6.0,0.5,-0.1,none,290,6.9,-7.05,-0.23,-33.42,-0.011,6.9,0.0,63.1,36.9,21,-0.49,-12.58,0.26,5.53
EUR_USD,15m,6.0,0.5,0.0,none,316,6.3,7.24,0.2,-20.97,0.035,6.3,0.0,65.5,34.5,15,-0.06,1.71,0.26,5.53
EUR_USD,15m,6.0,0.75,-0.3,none,187,9.1,-9.33,-0.43,-26.07,-0.034,9.1,0.0,56.1,43.9,19,-0.69,-14.86,0.26,5.53
EUR_USD,15m,6.0,0.75,-0.2,none,225,8.0,-13.61,-0.56,-27.91,-0.049,8.0,0.0,56.9,43.1,22,-0.82,-19.14,0.26,5.53
EUR_USD,15m,6.0,0.75,-0.1,none,229,7.9,-9.83,-0.38,-29.64,-0.029,7.9,0.0,54.6,45.4,22,-0.64,-15.36,0.26,5.53
EUR_USD,15m,6.0,0.75,0.0,none,248,7.7,-2.82,-0.1,-25.59,0.004,7.7,0.0,54.4,45.6,19,-0.36,-8.35,0.26,5.53
EUR_USD,15m,6.0,1.0,-0.3,none,165,10.9,2.26,0.1,-31.52,0.035,10.9,0.0,49.7,50.3,17,-0.16,-3.27,0.26,5.53
EUR_USD,15m,6.0,1.0,-0.2,none,194,9.3,-9.54,-0.4,-30.2,-0.033,9.3,0.0,49.0,51.0,20,-0.66,-15.07,0.26,5.53
EUR_USD,15m,6.0,1.0,-0.1,none,201,9.0,-6.42,-0.26,-28.72,-0.015,9.0,0.0,48.8,51.2,21,-0.52,-11.95,0.26,5.53
EUR_USD,15m,6.0,1.0,0.0,none,207,8.7,-5.51,-0.21,-29.66,-0.01,8.7,0.0,46.9,53.1,17,-0.47,-11.04,0.26,5.53
EUR_USD,15m,6.0,1.5,-0.3,none,146,14.4,31.97,1.22,-21.11,0.218,14.4,0.0,44.5,55.5,12,0.96,26.44,0.26,5.53
EUR_USD,15m,6.0,1.5,-0.2,none,151,13.9,32.22,1.19,-22.52,0.212,13.9,0.0,43.7,56.3,12,0.93,26.69,0.26,5.53
EUR_USD,15m,6.0,1.5,-0.1,none,158,13.9,44.42,1.49,-20.56,0.259,13.9,0.0,45.6,54.4,15,1.23,38.89,0.26,5.53
EUR_USD,15m,6.0,1.5,0.0,none,162,12.3,28.5,1.02,-25.74,0.179,12.3,0.0,43.8,56.2,15,0.76,22.97,0.26,5.53
USD_JPY,15m,3.0,0.25,-0.3,none,454,14.3,4.42,0.24,-15.64,0.023,14.3,0.0,78.0,22.0,0,-0.83,-10.18,1.07,14.6
USD_JPY,15m,3.0,0.25,-0.2,none,486,13.6,13.33,0.67,-11.59,0.055,13.6,0.0,76.7,23.3,0,-0.4,-1.27,1.07,14.6
USD_JPY,15m,3.0,0.25,-0.1,none,556,10.4,6.61,0.34,-11.96,0.026,10.4,0.0,77.3,22.7,2,-0.73,-7.99,1.07,14.6
USD_JPY,15m,3.0,0.25,0.0,none,588,8.8,14.18,0.72,-10.55,0.048,8.8,0.0,77.6,22.4,1,-0.35,-0.42,1.07,14.6
USD_JPY,15m,3.0,0.5,-0.3,none,371,16.2,-0.19,-0.01,-20.35,0.004,16.2,0.0,66.8,33.2,1,-1.08,-14.79,1.07,14.6
USD_JPY,15m,3.0,0.5,-0.2,none,391,15.9,10.12,0.58,-14.13,0.054,15.9,0.0,67.8,32.2,1,-0.49,-4.48,1.07,14.6
USD_JPY,15m,3.0,0.5,-0.1,none,430,13.3,4.02,0.23,-18.99,0.022,13.3,0.0,67.4,32.6,1,-0.84,-10.58,1.07,14.6
USD_JPY,15m,3.0,0.5,0.0,none,470,10.6,-0.74,-0.04,-19.5,0.0,10.6,0.0,67.7,32.3,0,-1.11,-15.34,1.07,14.6
USD_JPY,15m,3.0,0.75,-0.3,none,311,16.4,-7.4,-0.54,-20.13,-0.045,16.4,0.0,58.5,41.5,1,-1.61,-22.0,1.07,14.6
USD_JPY,15m,3.0,0.75,-0.2,none,332,16.0,-2.73,-0.19,-17.43,-0.012,16.0,0.0,59.0,41.0,1,-1.26,-17.33,1.07,14.6
USD_JPY,15m,3.0,0.75,-0.1,none,365,13.4,-8.77,-0.61,-21.25,-0.046,13.4,0.0,59.2,40.8,1,-1.68,-23.37,1.07,14.6
USD_JPY,15m,3.0,0.75,0.0,none,393,12.2,-6.04,-0.4,-21.08,-0.028,12.2,0.0,59.8,40.2,0,-1.47,-20.64,1.07,14.6
USD_JPY,15m,3.0,1.0,-0.3,none,286,19.9,4.23,0.29,-15.27,0.035,19.9,0.0,52.8,47.2,1,-0.78,-10.37,1.07,14.6
USD_JPY,15m,3.0,1.0,-0.2,none,301,19.3,7.33,0.48,-12.78,0.052,19.3,0.0,53.5,46.5,1,-0.59,-7.27,1.07,14.6
USD_JPY,15m,3.0,1.0,-0.1,none,326,16.3,-3.28,-0.23,-15.61,-0.016,16.3,0.0,52.5,47.5,1,-1.3,-17.88,1.07,14.6
USD_JPY,15m,3.0,1.0,0.0,none,352,14.5,-8.41,-0.58,-19.96,-0.045,14.5,0.0,51.1,48.9,0,-1.65,-23.01,1.07,14.6
USD_JPY,15m,3.0,1.5,-0.3,none,251,21.5,-1.48,-0.11,-15.19,-0.006,21.5,0.0,39.8,60.2,1,-1.18,-16.08,1.07,14.6
USD_JPY,15m,3.0,1.5,-0.2,none,264,20.8,-1.99,-0.15,-14.89,-0.009,20.8,0.0,39.8,60.2,1,-1.22,-16.59,1.07,14.6
USD_JPY,15m,3.0,1.5,-0.1,none,273,19.0,-8.6,-0.67,-15.85,-0.06,19.0,0.0,38.1,61.9,1,-1.74,-23.2,1.07,14.6
