strategy,tf,label,di,rr,persist,adx_min,adx_rising,di_slope,trades,win_rate,roi,sharpe,max_dd,pvt_threshold,pvt_consec
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,6.0,2.0,0.0,False,True,93,10.8,-22.24,-2.02,-36.64,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,8.0,1.0,0.0,False,False,75,8.0,-20.68,-2.04,-34.23,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,3.0,1.0,0.0,False,False,85,20.0,-16.55,-2.06,-24.17,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,3.0,2.0,0.0,True,True,117,20.5,-20.17,-2.07,-23.54,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,6.0,2.0,15.0,False,True,95,10.5,-23.78,-2.09,-35.35,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,4.0,2.0,0.0,True,True,83,15.7,-17.61,-2.1,-21.49,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,4.0,1.0,20.0,True,False,81,16.0,-15.93,-2.1,-31.32,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,5.0,1.0,15.0,True,False,62,12.9,-14.14,-2.11,-28.94,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,6.0,2.0,0.0,True,True,111,10.8,-25.6,-2.11,-36.78,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,3.0,2.0,20.0,True,False,122,20.5,-21.02,-2.12,-35.17,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,8.0,1.0,15.0,True,True,50,8.0,-14.31,-2.14,-16.57,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,6.0,2.0,0.0,False,True,58,10.3,-15.89,-2.17,-20.65,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,8.0,2.0,15.0,True,True,75,8.0,-20.68,-2.18,-32.43,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,2.0,15.0,True,True,63,7.9,-17.97,-2.2,-21.45,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,4.0,1.0,0.0,False,True,105,15.2,-23.43,-2.2,-33.22,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,5.0,1.0,0.0,False,False,73,12.3,-18.46,-2.21,-26.77,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,4.0,2.0,0.0,False,True,85,15.3,-19.25,-2.22,-25.34,,
