strategy,tf,label,di,rr,persist,adx_min,adx_rising,di_slope,trades,win_rate,roi,sharpe,max_dd,pvt_threshold,pvt_consec
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,3.0,1.0,0.0,False,False,74,32.4,22.99,2.31,-9.62,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,6.0,1.0,15.0,False,True,39,20.5,16.72,2.28,-10.47,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,5.0,1.0,20.0,True,False,43,23.3,16.91,2.24,-13.13,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,8.0,1.0,15.0,True,True,29,17.2,15.44,2.24,-11.36,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,3.0,1.0,15.0,False,False,66,31.8,18.35,2.21,-11.36,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,5.0,2.0,15.0,False,False,48,22.9,17.92,2.18,-7.73,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,5.0,1.0,15.0,False,False,53,22.6,18.94,2.14,-12.25,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,6.0,1.0,0.0,False,True,40,20.0,15.55,2.1,-11.36,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,3.0,2.0,15.0,False,False,76,31.6,20.54,2.09,-8.7,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,6.0,2.0,0.0,False,True,40,20.0,15.55,2.07,-8.83,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,4.0,2.0,15.0,False,False,69,26.1,21.34,2.06,-7.73,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,3.0,2.0,0.0,False,False,74,31.1,18.21,1.93,-8.7,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,5.0,1.0,0.0,False,False,50,22.0,15.57,1.92,-13.13,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,6.0,2.0,20.0,False,False,46,19.6,16.48,1.92,-13.13,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,4.0,1.0,15.0,False,False,55,25.5,14.69,1.91,-12.25,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,6.0,2.0,15.0,False,True,41,19.5,14.4,1.89,-8.83,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,6.0,2.0,0.0,False,False,41,19.5,14.4,1.88,-8.65,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,6.0,1.0,20.0,False,False,36,19.4,12.35,1.88,-11.36,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,6.0,2.0,15.0,True,False,26,19.2,8.36,1.82,-8.83,,
