symbol,timeframe,di_threshold,rr,di_persist,period,trades,wins,win_rate,roi,sharpe,max_dd
AU200_AUD,15m,25.0,2.0,1,2025-09-02 → 2026-02-27,214,71,33.2,-3.07,-0.17,-27.72
AU200_AUD,15m,25.0,2.0,2,2025-09-02 → 2026-02-27,206,71,34.5,5.04,0.28,-21.48
AU200_AUD,15m,25.0,2.5,1,2025-09-02 → 2026-02-27,181,46,25.4,-19.82,-1.4,-34.04
AU200_AUD,15m,25.0,2.5,2,2025-09-02 → 2026-02-27,178,46,25.8,-17.37,-1.15,-26.27
AU200_AUD,15m,25.0,3.0,1,2025-09-02 → 2026-02-27,136,28,20.6,-22.72,-1.92,-35.13
AU200_AUD,15m,25.0,3.0,2,2025-09-02 → 2026-02-27,139,32,23.0,-12.15,-0.92,-25.72
AU200_AUD,15m,25.0,3.5,1,2025-09-02 → 2026-02-27,151,27,17.9,-27.2,-1.82,-39.27
AU200_AUD,15m,25.0,3.5,2,2025-09-02 → 2026-02-27,87,19,21.8,-2.94,-0.31,-16.19
AU200_AUD,15m,25.0,4.0,1,2025-09-02 → 2026-02-27,129,18,14.0,-33.61,-3.07,-40.21
AU200_AUD,15m,25.0,4.0,2,2025-09-02 → 2026-02-27,108,16,14.8,-25.7,-2.32,-32.28
AU200_AUD,15m,25.0,4.5,1,2025-09-02 → 2026-02-27,94,15,16.0,-12.52,-1.14,-16.28
AU200_AUD,15m,25.0,4.5,2,2025-09-02 → 2026-02-27,89,14,15.7,-12.85,-1.26,-20.5
AU200_AUD,15m,25.0,5.0,1,2025-09-02 → 2026-02-27,108,13,12.0,-27.42,-2.3,-30.88
AU200_AUD,15m,25.0,5.0,2,2025-09-02 → 2026-02-27,104,14,13.5,-19.87,-1.65,-27.1
AU200_AUD,15m,30.0,1.5,1,2025-09-02 → 2026-02-27,219,95,43.4,18.31,1.01,-13.84
AU200_AUD,15m,30.0,1.5,2,2025-09-02 → 2026-02-27,208,83,39.9,-2.03,-0.13,-15.99
AU200_AUD,15m,30.0,2.0,1,2025-09-02 → 2026-02-27,183,60,32.8,-4.69,-0.3,-17.04
AU200_AUD,15m,30.0,2.0,2,2025-09-02 → 2026-02-27,152,54,35.5,8.81,0.63,-13.23
AU200_AUD,15m,30.0,2.5,1,2025-09-02 → 2026-02-27,136,40,29.4,2.31,0.17,-14.85
AU200_AUD,15m,30.0,2.5,2,2025-09-02 → 2026-02-27,118,37,31.4,10.47,0.82,-14.76
