group,pair,cap_days,trades,maxhold_exits,win_rate,gross_R,financing_R,net_R,exp_net_R,roi_pct,max_dd_pct,sharpe_daily,position_days,max_hold_days,h1_net_R,h2_net_R,oos,risk_pct
ACTIVE,XAU_USD,none,322,0,27.639751552795033,78.05778356038591,11.58256511113936,66.47521844924655,0.20644477779269116,135.1798328643211,-44.120533850098255,0.9109892745234813,745.4895833333333,132.29166666666666,-0.0069551553087340975,0.4198447108941164,FAIL,0.015
ACTIVE,XAU_USD,1,594,172,36.195286195286194,87.32151245012875,10.570662631503017,76.75084981862574,0.12921018487984132,165.02794930788878,-46.69350981479665,0.9619962879543816,389.2395833333333,3.8645833333333335,0.0001634371636226778,0.2582569325960599,PASS,0.015
ACTIVE,XAU_USD,2,555,107,33.33333333333333,88.95907484954259,11.834675183526414,77.12439966601617,0.13896288228111023,163.24416405969745,-42.37822726589458,0.9264686905316571,459.36458333333337,4.385416666666667,0.03805372166542614,0.23950906030465158,PASS,0.015
ACTIVE,XAU_USD,3,521,82,33.97312859884837,108.54577170801244,12.456110841538035,96.08966086647436,0.18443313026194694,249.22552301395297,-43.112892707111435,1.1395401528703761,512.0625,4.6875,0.05210690080362621,0.3162523626725347,PASS,0.015
ACTIVE,XAU_USD,5,447,45,32.43847874720358,134.34086067981573,12.975126056942392,121.36573462287335,0.27151171056571216,412.4185975759682,-26.601403903700575,1.4715915977049943,586.7604166666667,6.989583333333333,0.10251428302055272,0.4397546853093308,PASS,0.015
ACTIVE,XAU_USD,7,428,27,30.373831775700932,112.904996225725,12.975418133619787,99.92957809210523,0.23348032264510568,273.26055962063435,-33.136865597391775,1.2223804465181585,603.5000000000001,7.0,0.11983975911286107,0.34712088617735026,PASS,0.015
ACTIVE,XAU_USD,10,411,16,28.710462287104622,88.04317378712565,12.85630403842562,75.18686974870002,0.18293642274622876,159.91031034126686,-30.46593264955813,0.9425463123599392,644.9270833333333,12.15625,0.03439623468532665,0.3307555419330489,PASS,0.015
ACTIVE,XAU_USD,14,396,10,28.030303030303028,80.44657225520537,12.633158752376463,67.81341350282891,0.1712459936940124,133.9319394630623,-41.41249956442504,0.8643481116799714,660.7395833333334,14.0,-0.006232257287039045,0.34872424467506385,FAIL,0.015
ACTIVE,XAU_USD,21,376,6,26.861702127659576,67.43958824665104,12.385846058007917,55.05374218864311,0.1464195270974551,94.86841987502248,-44.12053385009821,0.724811469745573,685.7395833333333,21.0,-0.037646902859906635,0.3304859570548168,FAIL,0.015
ACTIVE,XAG_USD,none,116,0,31.896551724137932,32.0,1.5660344916661406,30.43396550833386,0.2623617716235678,32.86730530078703,-12.198252494921903,0.774018599775268,152.875,18.635416666666668,0.08586468530289204,0.43885885794424345,PASS,0.01
