group,pair,cap_days,trades,maxhold_exits,win_rate,gross_R,financing_R,net_R,exp_net_R,roi_pct,max_dd_pct,sharpe_daily,position_days,max_hold_days,h1_net_R,h2_net_R,oos,risk_pct
ACTIVE,XAG_USD,1,126,39,41.269841269841265,19.8879816317583,1.0307673027640223,18.85721432899428,0.1496604311824943,19.034767926812933,-11.753405984688422,0.5698178736189077,82.19791666666666,2.8645833333333335,-0.09560530227267033,0.3949261646376589,FAIL,0.01
ACTIVE,XAG_USD,2,126,29,38.88888888888889,26.363303031801017,1.2603569197006026,25.102946112100415,0.199229731048416,26.438181751648937,-12.905881148306808,0.7036620852424095,109.72916666666667,3.84375,-0.10990624432647025,0.5083657064233024,FAIL,0.01
ACTIVE,XAG_USD,3,123,17,37.39837398373984,32.79402017433692,1.338911066461476,31.455109107875447,0.25573259437297113,34.44733191677531,-10.841539803965313,0.8373111044603155,119.13541666666667,4.364583333333333,0.03809491895589683,0.4698599847026733,PASS,0.01
ACTIVE,XAG_USD,5,120,10,34.166666666666664,31.544454611216604,1.4808573682232726,30.063597242993332,0.25052997702494445,32.50650016401275,-10.42798500633743,0.782523104565832,136.67708333333334,6.395833333333333,0.07143733698544515,0.4296226170644438,PASS,0.01
ACTIVE,XAG_USD,7,117,3,31.62393162393162,32.430503166026334,1.5699401167602978,30.860563049266034,0.26376549614757294,33.44329743701575,-11.973578430748692,0.7860797531599426,148.02083333333331,7.114583333333333,0.03887261687386075,0.4848466317047816,PASS,0.01
ACTIVE,XAG_USD,10,117,1,32.47863247863248,32.23300777356987,1.5455764932043536,30.687431280365512,0.26228573743902145,33.205994968517615,-11.974438633254884,0.7807072281626644,147.8125,11.114583333333334,0.03891057830733394,0.4818748769244092,PASS,0.01
ACTIVE,XAG_USD,14,116,1,32.758620689655174,34.169623280845116,1.529527726539717,32.640095554305404,0.28138013408883966,35.83264665953967,-10.238687253057842,0.8305838514647222,148.35416666666669,14.114583333333334,0.1239014102334359,0.43885885794424345,PASS,0.01
ACTIVE,XAG_USD,21,116,0,31.896551724137932,32.0,1.5660344916661406,30.43396550833386,0.2623617716235678,32.86730530078703,-12.198252494921903,0.774018599775268,152.875,18.635416666666668,0.08586468530289204,0.43885885794424345,PASS,0.01
ACTIVE,NAS100_USD,none,262,0,40.458015267175576,33.85392319323427,6.275323676426346,27.57859951680794,0.1052618302168242,27.116415205052014,-21.068805966463188,0.5167969275486599,317.875,14.145833333333334,-0.013581841089908259,0.22410550152355663,FAIL,0.01
ACTIVE,NAS100_USD,1,315,90,40.63492063492063,32.86629932402151,4.677706670367297,28.188592653654222,0.08948759572588642,28.037032359339452,-22.11472728835072,0.5316322756703704,192.9375,3.3020833333333335,-0.07605353341447305,0.25398099620080056,FAIL,0.01
ACTIVE,NAS100_USD,2,303,58,41.914191419141915,38.86280966819556,5.625222960087453,33.23758670810811,0.1096950056373205,34.47173617031265,-19.406353501228573,0.6149336947492886,244.80208333333334,3.3854166666666665,-0.026784592060976015,0.24527671124549663,FAIL,0.01
ACTIVE,NAS100_USD,3,293,35,40.61433447098976,31.28096858727684,5.928694621806292,25.35227396547056,0.08652653230536027,24.23670081373295,-18.9933801590687,0.4780360865157799,262.60416666666663,4.333333333333333,-0.06746409313129582,0.23946960246693705,FAIL,0.01
ACTIVE,NAS100_USD,5,274,17,41.605839416058394,42.9065482249833,6.217808082207917,36.68874014277539,0.13390051146998316,39.14750976146397,-19.037642455499075,0.6810390322268907,294.84375,6.322916666666667,0.001730889654843447,0.2660701332851229,PASS,0.01
ACTIVE,NAS100_USD,7,268,9,41.417910447761194,41.124403716029974,6.258540215951445,34.86586350007853,0.13009650559730795,36.66527141209159,-19.707591761464887,0.6525825677394625,305.3541666666667,7.0,0.008955128666352329,0.25123788252826357,PASS,0.01
ACTIVE,NAS100_USD,10,264,3,40.909090909090914,38.621269805929934,6.2608337994868375,32.36043600644311,0.12257740911531481,33.29469865517636,-21.068805966463188,0.6062698037023099,312.8229166666667,10.302083333333334,-0.021526402721579196,0.26668122095220875,FAIL,0.01
ACTIVE,NAS100_USD,14,262,1,40.458015267175576,34.164796866733326,6.274822426344203,27.88997444038914,0.10645028412362267,27.51044527777038,-21.068805966463188,0.5224902979023469,317.72916666666663,14.0,-0.013581841089908259,0.22648240933715352,FAIL,0.01
ACTIVE,NAS100_USD,21,262,0,40.458015267175576,33.85392319323427,6.275323676426346,27.57859951680794,0.1052618302168242,27.116415205052014,-21.068805966463188,0.5167969275486599,317.875,14.145833333333334,-0.013581841089908259,0.22410550152355663,FAIL,0.01
ACTIVE,BCO_USD,none,449,0,42.31625835189309,93.9182861215057,4.05908405308123,89.85920206842448,0.20013185315907456,133.65340610030097,-13.324989130126083,1.449771248308406,326.41666666666663,11.25,0.23531933472051536,0.16510076040457353,PASS,0.01
ACTIVE,BCO_USD,1,511,120,44.422700587084144,87.22775190827284,3.3623594242670425,83.8653924840058,0.16412014184736945,120.69772662416254,-12.184003780833159,1.4125935081654613,241.03125,3.8541666666666665,0.14920802288681317,0.17897401034323604,PASS,0.01
ACTIVE,BCO_USD,2,476,42,43.27731092436975,90.90142630018195,3.843509017247461,87.05791728293451,0.1828947842078456,127.40470103002738,-12.296523804515283,1.4206466484098388,290.4375,4.614583333333333,0.17682956289102147,0.18896000552466977,PASS,0.01
ACTIVE,BCO_USD,3,461,21,42.950108459869845,104.06548277988627,3.9536782680406866,100.11180451184556,0.2171622657523765,158.70598327299547,-12.867331568941923,1.6108710374412578,305.7395833333333,4.614583333333333,0.2576892818474542,0.17681069128541596,PASS,0.01
ACTIVE,BCO_USD,5,456,4,42.76315789473684,101.03167575093735,4.067671204382421,96.96400454655497,0.21264036084770827,150.61579615046364,-13.324989130126113,1.5498947280272386,320.5833333333333,6.375,0.24895412303291675,0.17632659866249975,PASS,0.01
ACTIVE,BCO_USD,7,452,2,42.69911504424779,101.25030314090023,4.0703140562627445,97.1799890846375,0.21499997585096792,151.15966223701525,-13.324989130126077,1.5465985477897346,324.28125,7.0,0.2497909936156158,0.18020895808632,PASS,0.01
ACTIVE,BCO_USD,10,449,1,42.31625835189309,92.77635528577083,4.050008957348728,88.72634632842212,0.19760878915016064,131.04641210079023,-13.3249891301261,1.4329164862868589,325.16666666666663,10.0,0.2302619430240762,0.16510076040457353,PASS,0.01
ACTIVE,BCO_USD,14,449,0,42.31625835189309,93.9182861215057,4.05908405308123,89.85920206842448,0.20013185315907456,133.65340610030097,-13.324989130126083,1.449771248308406,326.41666666666663,11.25,0.23531933472051536,0.16510076040457353,PASS,0.01
ACTIVE,BCO_USD,21,449,0,42.31625835189309,93.9182861215057,4.05908405308123,89.85920206842448,0.20013185315907456,133.65340610030097,-13.324989130126083,1.449771248308406,326.41666666666663,11.25,0.23531933472051536,0.16510076040457353,PASS,0.01
ACTIVE,JP225_USD,none,227,0,25.55066079295154,16.6228025009207,0.6222862886899085,16.000516212230792,0.07048685556048807,16.230900441556372,-8.222707378207577,0.6583896074122272,29.947916666666668,3.1875,0.066940682530251,0.07400192180975816,PASS,0.01
ACTIVE,JP225_USD,1,228,5,26.75438596491228,16.108976704365258,0.603198005607537,15.505778698757725,0.0680078013103409,15.6681539896379,-8.222707378207526,0.6441670060723259,27.204861111111107,2.642361111111111,0.06231521965428132,0.07370038296640047,PASS,0.01
ACTIVE,JP225_USD,2,227,2,25.991189427312776,16.955234772480704,0.6214822373080542,16.33375253517265,0.07195485698313943,16.62188379146434,-8.222707378207573,0.6726049588862665,29.875,3.1875,0.06450022581564258,0.07934409664916701,PASS,0.01
ACTIVE,JP225_USD,3,227,0,25.55066079295154,16.6228025009207,0.6222862886899085,16.000516212230792,0.07048685556048807,16.230900441556372,-8.222707378207577,0.6583896074122272,29.947916666666668,3.1875,0.066940682530251,0.07400192180975816,PASS,0.01
ACTIVE,JP225_USD,5,227,0,25.55066079295154,16.6228025009207,0.6222862886899085,16.000516212230792,0.07048685556048807,16.230900441556372,-8.222707378207577,0.6583896074122272,29.947916666666668,3.1875,0.066940682530251,0.07400192180975816,PASS,0.01
ACTIVE,JP225_USD,7,227,0,25.55066079295154,16.6228025009207,0.6222862886899085,16.000516212230792,0.07048685556048807,16.230900441556372,-8.222707378207577,0.6583896074122272,29.947916666666668,3.1875,0.066940682530251,0.07400192180975816,PASS,0.01
ACTIVE,JP225_USD,10,227,0,25.55066079295154,16.6228025009207,0.6222862886899085,16.000516212230792,0.07048685556048807,16.230900441556372,-8.222707378207577,0.6583896074122272,29.947916666666668,3.1875,0.066940682530251,0.07400192180975816,PASS,0.01
ACTIVE,JP225_USD,14,227,0,25.55066079295154,16.6228025009207,0.6222862886899085,16.000516212230792,0.07048685556048807,16.230900441556372,-8.222707378207577,0.6583896074122272,29.947916666666668,3.1875,0.066940682530251,0.07400192180975816,PASS,0.01
ACTIVE,JP225_USD,21,227,0,25.55066079295154,16.6228025009207,0.6222862886899085,16.000516212230792,0.07048685556048807,16.230900441556372,-8.222707378207577,0.6583896074122272,29.947916666666668,3.1875,0.066940682530251,0.07400192180975816,PASS,0.01
INERT,EUR_USD,none,245,0,12.244897959183673,-35.36681131949982,32.95375775282028,-68.3205690723201,-0.27885946560130653,-52.464025464398745,-56.952774410352866,-0.9386761039525217,938.9479166666667,325.9583333333333,-0.2801024294878274,-0.277626607112237,FAIL,0.01
INERT,EUR_USD,1,1234,380,29.902755267423014,11.463363879580955,67.36512224922723,-55.90175836964626,-0.04530126286032922,-53.248803308200486,-55.81465695678849,-0.4467886187891057,741.7395833333333,3.2083333333333335,-0.04702267343939522,-0.043579852281263244,FAIL,0.01
INERT,EUR_USD,2,949,209,25.18440463645943,33.09881218907708,67.10563591102951,-34.006823721952415,-0.03583437694620908,-41.39448608790727,-50.35977722574645,-0.2947056755707274,785.3958333333333,4.447916666666667,-0.05376221500227553,-0.017944281707102782,FAIL,0.01
INERT,EUR_USD,3,846,142,23.995271867612296,55.581928090853,66.12982022844993,-10.547892137596927,-0.012467957609452632,-25.59578661717311,-54.5475013802982,-0.09424909295967412,824.6458333333333,4.885416666666667,0.01957644745259629,-0.044512362671501535,FAIL,0.01
INERT,EUR_USD,5,691,89,22.431259044862518,87.73366805348387,65.23227772491273,22.501390328571144,0.03256351711804797,5.429095380749938,-45.099241996979515,0.19258134712499103,882.1666666666667,6.916666666666667,-0.005728073698045737,0.07074443859652291,FAIL,0.01
INERT,EUR_USD,7,597,50,19.09547738693467,36.348600594570605,62.321809975110774,-25.97320938054017,-0.04350621336773897,-33.75683912400359,-52.62373036864499,-0.24178860897020418,890.6770833333334,7.0,-0.12296050349140838,0.03568234334414559,FAIL,0.01
INERT,EUR_USD,10,543,32,17.495395948434624,4.405075605998849,57.82830393033945,-53.4232283243406,-0.09838531919768066,-48.96624105062016,-61.960468101287425,-0.514419629707803,897.4166666666665,12.114583333333334,-0.14053329051603797,-0.05639230365622908,FAIL,0.01
INERT,EUR_USD,14,430,24,18.13953488372093,33.086599062678204,56.33466236429033,-23.248063301612156,-0.05406526349212129,-29.361705668296278,-45.06531546538517,-0.24001240832888454,924.0208333333335,14.447916666666666,-0.053988777539089844,-0.0541417494451527,FAIL,0.01
INERT,EUR_USD,21,393,12,14.75826972010178,-35.40481448784398,52.34137098352876,-87.74618547137274,-0.22327273656837848,-62.19542358066336,-66.50433347895904,-0.960316348962469,936.4166666666666,21.0,-0.2683315256891747,-0.1784426722654544,FAIL,0.01
INERT,USD_JPY,none,697,0,25.251076040172165,8.90471571962005,30.857302112717726,-21.952586393097675,-0.03149581978923626,-12.712024238217623,-25.826953056019686,-0.266541468273726,743.2916666666667,66.45833333333333,-0.12856003377844266,0.06529027324298099,FAIL,0.005
INERT,USD_JPY,1,1323,222,31.292517006802722,63.317831544017515,42.48841841805283,20.829413125964685,0.015744076436859173,6.401562471934574,-25.80090940906136,0.1823919787544607,591.0104166666667,2.9270833333333335,-0.023512692567573833,0.054941545185998454,FAIL,0.005
INERT,USD_JPY,2,1184,115,28.716216216216218,37.562794903079194,42.821229809889516,-5.258434906810329,-0.004441245698319535,-6.478280382831558,-29.332261128331744,-0.048806252288829156,647.09375,3.8541666666666665,-0.028335078221254608,0.019452586824615536,FAIL,0.005
INERT,USD_JPY,3,1153,75,28.18733738074588,53.020186859752236,42.25679283063288,10.763394029119343,0.009335120580329006,1.2513218360162615,-22.93711161368692,0.09397498423249567,666.1145833333334,4.927083333333333,-0.010754534583255438,0.029389958317286788,FAIL,0.005
INERT,USD_JPY,5,1010,43,27.524752475247528,40.09774280597118,40.49803157066593,-0.40028876469474284,-0.0003963255095987553,-3.8247632239917784,-18.795501778618256,-0.006095192327243964,697.4375,6.697916666666667,-0.009470090716248174,0.008677439697050636,FAIL,0.005
INERT,USD_JPY,7,946,25,26.53276955602537,18.03978305702598,39.09079913790529,-21.051016080879304,-0.02225265970494641,-13.073919631088415,-24.25496288221981,-0.21048839840769987,694.5520833333333,7.0,-0.08243735759892226,0.037932038189029446,FAIL,0.005
INERT,USD_JPY,10,903,17,26.799557032115175,35.05640586357136,38.344626267717175,-3.288220404145818,-0.0036414400931847374,-4.906219367674092,-20.769875319061722,-0.038032115945832896,731.2916666666666,10.770833333333334,-0.04936877201062746,0.04198472516072384,FAIL,0.005
INERT,USD_JPY,14,843,10,26.690391459074732,40.92962505347803,36.76386488296884,4.165760170509195,0.004941589763356103,-1.1208624563499914,-17.8512803855127,0.03907742297605835,737.8854166666666,14.0,-0.0370823830680436,0.046865979720747734,FAIL,0.005
INERT,USD_JPY,21,789,6,26.23574144486692,34.547712986769895,34.77767672871149,-0.22996374194160296,-0.0002914622838296615,-3.059357799579232,-24.43886774676361,-0.008114561988221565,758.7291666666667,21.0,-0.08296155329928569,0.082169337361967,FAIL,0.005
INERT,UK100_GBP,none,270,0,22.59259259259259,4.439074110321197,16.0238691122607,-11.584795001939504,-0.042906648155331496,-14.930928187546355,-39.633965167397314,-0.20129226447758947,663.2395833333334,127.11458333333333,-0.22115240601344638,0.1353391097027834,FAIL,0.01
INERT,UK100_GBP,1,400,135,34.0,1.731836682498539,9.882844237031208,-8.151007554532661,-0.020377518886331655,-11.683022997508575,-35.11392377923,-0.14808377403299425,273.8645833333333,5.427083333333333,-0.1277979184548327,0.0870428806821694,FAIL,0.01
INERT,UK100_GBP,2,377,91,29.44297082228117,-11.5207616821594,11.843106726198847,-23.363868408358243,-0.06197312575161338,-24.399941403831548,-34.637086845208664,-0.40770435504763397,351.33333333333337,5.427083333333333,-0.11707852733845615,-0.007159287136129567,FAIL,0.01
INERT,UK100_GBP,3,363,66,28.09917355371901,-13.097764893875464,13.045393893017753,-26.14315878689321,-0.07201972117601435,-26.592879372615673,-42.27757026894546,-0.4427161461510191,409.44791666666663,6.697916666666667,-0.12710498314147559,-0.01723712548508869,FAIL,0.01
INERT,UK100_GBP,5,347,40,26.801152737752158,4.976658214271344,14.469155848650338,-9.492497634378989,-0.02735590096362821,-13.63875255464151,-33.53046119623191,-0.1561830655420407,470.76041666666663,6.989583333333333,-0.15539339889432568,0.0999457492778124,FAIL,0.01
INERT,UK100_GBP,7,328,26,26.21951219512195,7.162944809116896,14.546540935131503,-7.383596126014606,-0.02251096379882502,-11.74418048423126,-33.0533968659896,-0.12320795362608634,491.03125,10.65625,-0.1537028748073207,0.10868094720967071,FAIL,0.01
INERT,UK100_GBP,10,312,17,25.320512820512818,11.903987488887559,15.695813038754656,-3.791825549867088,-0.012153287018804769,-8.487794023933981,-33.47393590732271,-0.066894443337853,547.34375,12.989583333333334,-0.14246215246008725,0.11815557842247766,FAIL,0.01
INERT,UK100_GBP,14,302,10,24.834437086092713,16.098313514422102,16.341428251051898,-0.24311473662980276,-0.0008050156842046449,-5.179744751648252,-37.32969431696772,-0.007821053207163298,581.6875,14.53125,-0.18593913817346822,0.18432910680505896,FAIL,0.01
INERT,UK100_GBP,21,294,4,22.789115646258505,-0.3008911645747787,16.325554827791937,-16.626445992366705,-0.0565525373890024,-19.364394351898827,-40.15973493550715,-0.2776847214225799,582.6041666666666,21.0,-0.27722128278933,0.1641162080113251,FAIL,0.01
